# {"t_start": 1562244067.1019845, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
281.0,1651,2563.201852
403.0,2017,2581.861479
418.0,2135,2601.596855
384.0,2940,2628.739381
396.0,2804,2654.804004
199.0,1736,2670.863741
424.0,3085,2699.275195
418.0,2435,2721.760839
357.0,2112,2741.11956
412.0,2646,2766.898551
401.0,2340,2789.167
420.0,2339,2810.729319
405.0,2277,2831.884631
320.0,2105,2851.44018
390.0,1725,2867.301876
2.0,208,2869.342516
2.0,202,2871.286686
0.0,129,2872.529685
4.0,278,2875.279008
2.0,202,2877.252629
0.0,129,2878.48071
0.0,129,2879.653562
1.0,151,2881.106407
0.0,129,2882.312778
2.0,202,2884.283035
10.0,414,2888.238896
361.0,2670,2913.076
424.0,2546,2936.578642
301.0,1841,2953.664036
431.0,3754,2990.439539
199.0,1456,3003.844983
431.0,2900,3030.602257
241.0,1911,3048.295087
23.0,919,3056.811953
93.0,1308,3068.954671
265.0,1658,3084.278571
428.0,2610,3108.339043
249.0,1335,3120.612379
73.0,1351,3133.119835
365.0,1881,3150.441468
61.0,994,3159.517403
417.0,2493,3182.838524
412.0,2469,3205.630875
415.0,2507,3228.712163
372.0,2789,3254.66956
373.0,1964,3272.839129
407.0,2207,3293.375217
426.0,3279,3324.68323
428.0,3074,3353.274935
354.0,2094,3373.196085
414.0,3300,3408.787979
393.0,2327,3449.088386
403.0,2695,3474.734354
309.0,1931,3492.5038
397.0,1790,3508.948739
297.0,1708,3524.620552
409.0,1771,3540.854791
347.0,1984,3559.146475
296.0,1378,3571.787643
359.0,1881,3589.110133
429.0,3055,3617.273149
427.0,2272,3638.355745
410.0,2817,3664.294388
355.0,1669,3679.872664
95.0,1090,3689.811006
409.0,2632,3714.096785
409.0,2333,3735.542922
425.0,2955,3762.781523
445.0,2718,3789.487312
425.0,2245,3811.42644
414.0,2062,3830.3345
417.0,2420,3854.067459
413.0,2347,3878.340959
60.0,1063,3888.67324
414.0,2251,3911.185313
425.0,2721,3936.95824
317.0,1935,3955.296525
89.0,1237,3966.706848
192.0,1768,3983.667279
272.0,1310,3997.26908
406.0,2684,4022.663034
406.0,3029,4051.239556
328.0,2263,4072.171386
417.0,2204,4092.563435
91.0,1316,4104.658653
44.0,1077,4114.80613
0.0,129,4116.115147
225.0,1835,4135.084102
32.0,865,4143.684804
424.0,2700,4168.697163
426.0,2074,4187.861817
407.0,2586,4211.811045
406.0,1945,4229.862077
416.0,5565,4283.750623
411.0,2277,4304.763923
426.0,2238,4325.767773
215.0,1660,4341.076744
381.0,2067,4360.143205
414.0,2980,4388.247982
85.0,1209,4399.518234
390.0,2786,4425.239553
352.0,1697,4440.820046
358.0,2163,4460.94794
161.0,1592,4475.542982
380.0,2324,4498.169471
417.0,2540,4522.38887
421.0,2890,4548.906698
403.0,2337,4570.526554
407.0,4943,4616.319964
244.0,1744,4632.516063
392.0,2112,4652.198661
355.0,1950,4670.314231
399.0,2651,4696.167595
408.0,2371,4718.731653
88.0,972,4727.602302
379.0,2831,4753.79423
416.0,2453,4777.620949
400.0,3417,4809.214563
426.0,3004,4837.056445
431.0,2655,4861.345966
399.0,2513,4884.515265
207.0,1238,4895.947785
392.0,2683,4920.895091
382.0,1796,4937.475456
422.0,2557,4960.977984
356.0,2282,4982.096963
328.0,1898,4999.596244
275.0,1713,5015.962794
419.0,2035,5035.961026
395.0,2210,5056.367489
410.0,2318,5077.855098
460.0,3873,5113.738582
150.0,1968,5131.96045
329.0,1903,5149.602356
334.0,1891,5167.44085
416.0,3522,5199.896855
366.0,1736,5215.838488
411.0,2298,5237.090397
297.0,2031,5255.981858
400.0,2452,5282.054507
413.0,2500,5305.834538
416.0,2412,5328.023334
413.0,2678,5352.593408
412.0,2486,5375.674285
366.0,2821,5401.681386
324.0,1651,5416.926733
380.0,2110,5436.532524
404.0,2155,5456.45505
351.0,2057,5475.508111
297.0,1674,5490.977281
405.0,2555,5514.494194
747.0,4791,5558.738881
381.0,2554,5582.214147
412.0,2348,5603.903845
406.0,2658,5628.404631
379.0,2251,5649.130409
399.0,2477,5672.223395
420.0,2720,5697.337392
327.0,2162,5717.469216
396.0,1813,5734.344268
424.0,2313,5755.732632
411.0,2286,5776.739921
408.0,2372,5798.601837
394.0,2189,5818.801713
377.0,2337,5840.515943
412.0,2369,5865.136214
428.0,2317,5887.64475
420.0,2609,5911.693748
375.0,2163,5931.621766
423.0,2794,5957.452645
