# {"t_start": 1562244066.9534748, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,155,3.071007
0.0,129,4.290898
0.0,127,5.484125
0.0,125,6.708421
0.0,127,7.92718
2.0,200,9.96318
0.0,127,11.184814
0.0,129,12.460255
0.0,127,13.716549
1.0,177,15.472415
1.0,173,17.198608
1.0,173,18.930139
1.0,151,20.475715
1.0,175,22.197514
0.0,125,23.404268
4.0,300,26.546794
0.0,129,27.786771
2.0,201,29.876309
1.0,157,31.438037
0.0,125,32.657585
0.0,127,33.863935
2.0,220,36.163055
1.0,174,37.851673
1.0,173,39.595396
0.0,129,40.90876
2.0,223,43.156567
2.0,200,45.230453
0.0,129,46.543123
3.0,248,49.079638
0.0,127,50.299435
0.0,127,51.53066
0.0,125,52.726411
1.0,173,54.384581
4.0,297,57.425975
0.0,127,58.619984
13.0,459,63.375777
1.0,173,65.020607
9.0,404,69.13989
2.0,202,71.125571
0.0,127,72.336565
0.0,129,73.560509
1.0,177,75.263116
0.0,125,76.436185
0.0,125,77.645888
0.0,129,78.899257
5.0,350,82.381428
6.0,398,86.433364
0.0,127,87.611091
4.0,297,90.574219
1.0,155,92.044514
0.0,127,93.242452
1.0,173,94.978092
2.0,220,97.192114
0.0,123,98.319567
3.0,234,100.709866
0.0,125,101.918286
0.0,127,103.110749
5.0,329,106.505064
0.0,129,107.74693
3.0,230,110.029115
0.0,125,111.253646
3.0,248,113.652494
2.0,207,115.709683
2.0,202,117.639652
1.0,157,119.124127
1.0,157,120.631544
4.0,262,123.163916
2.0,225,125.385977
1.0,155,126.828231
3.0,230,129.035352
12.0,509,134.156537
0.0,127,135.360945
2.0,186,137.133668
6.0,399,141.044266
6.0,341,144.401872
0.0,123,145.550857
1.0,178,147.247843
4.0,321,150.348658
4.0,321,153.456325
6.0,345,156.841805
13.0,546,162.273022
3.0,232,164.473371
6.0,356,167.91779
10.0,376,171.5754
14.0,512,176.545428
14.0,600,182.364098
20.0,623,188.383568
9.0,497,193.136449
21.0,369,196.678191
12.0,553,202.058267
11.0,556,207.353722
23.0,622,213.357548
16.0,521,218.35085
14.0,541,223.515073
15.0,429,227.528333
35.0,995,237.027753
11.0,503,241.806391
4.0,301,244.830246
14.0,661,251.194171
21.0,604,257.003268
10.0,590,262.620164
22.0,729,269.531757
16.0,586,275.069687
23.0,799,282.606878
17.0,484,287.151266
18.0,779,294.552902
19.0,714,301.340915
41.0,744,308.426234
20.0,730,315.370407
38.0,1082,325.60709
23.0,700,332.188511
14.0,670,338.483035
19.0,650,344.598035
15.0,697,351.16875
34.0,953,360.16186
40.0,1108,370.623766
18.0,722,377.492184
26.0,587,383.013027
48.0,1004,392.447821
13.0,602,398.039944
20.0,740,405.023601
46.0,1045,414.788759
36.0,1001,424.221507
48.0,1238,435.861925
66.0,1248,447.582859
46.0,1165,458.623374
32.0,498,463.211326
