# {"t_start": 1562175457.9759421, "env_id": "citycopter-v0"} 
r,l,t
-5.0,5,2.921076
-3.0,20,4.704817
-5.0,7,5.321852
-4.0,12,6.294218
-4.0,14,7.319424
-4.0,16,8.548272
-4.0,13,9.395787
-5.0,6,9.918576
-5.0,11,10.860277
-4.0,17,12.124851
0.0,43,14.8998
3.0,60,18.736971
-3.0,25,20.351743
0.0,43,22.954479
0.0,44,25.874497
-2.0,27,27.517609
0.0,44,30.291462
8.0,94,35.937698
-1.0,40,38.470427
0.0,45,41.190082
0.0,48,44.172451
-3.0,20,45.334378
0.0,44,48.142476
3.0,61,51.882339
-3.0,24,53.432997
0.0,42,63.894586
-2.0,32,68.71258
-1.0,36,72.961293
-1.0,38,77.095122
-4.0,18,78.920436
1.0,49,83.920599
-2.0,32,86.7895
-2.0,31,89.77678
0.0,46,93.686114
2.0,53,97.955656
-1.0,41,101.092128
0.0,43,104.39149
2.0,52,108.125103
3.0,61,112.606201
-1.0,35,115.071154
0.0,44,118.079906
0.0,44,121.119912
1.0,50,124.418621
0.0,43,127.230906
0.0,45,130.117525
-2.0,33,132.347545
-1.0,34,134.671642
8.0,96,140.530586
0.0,43,143.076061
31.0,248,157.509896
49.0,350,177.872806
34.0,262,192.806432
8.0,95,198.048102
31.0,249,212.775846
8.0,95,218.358752
57.0,401,242.173582
6.0,83,247.080421
91.0,611,282.437218
26.0,211,294.930328
92.0,610,330.634821
405.0,2558,481.196799
328.0,2079,603.660937
121.0,807,650.977618
10.0,105,657.891184
2.0,53,661.298073
43.0,306,679.536462
90.0,605,715.284723
44.0,312,733.562583
337.0,2141,858.728844
10.0,107,865.262921
66.0,461,892.573472
50.0,360,913.931568
497.0,3126,1097.976515
111.0,739,1142.349843
8.0,94,1148.291954
0.0,42,1150.97588
191.0,1235,1223.406816
0.0,43,1226.135218
0.0,46,1229.01681
231.0,1477,1315.876847
2.0,53,1319.091173
90.0,599,1353.935295
200.0,1285,1430.787962
58.0,402,1454.197583
78.0,535,1485.725894
74.0,514,1516.068156
158.0,1027,1575.620065
255.0,1636,1671.213104
0.0,43,1673.975133
150.0,972,1730.483061
224.0,1430,1814.573335
163.0,1065,1877.019917
23.0,196,1888.600318
462.0,2904,2056.332671
437.0,2754,2216.085539
286.0,1823,2322.702903
183.0,1180,2390.683152
254.0,1629,2486.09053
224.0,1436,2569.23578
