# {"t_start": 1562269505.3845003, "env_id": "Breakout-ramNoFrameskip-v4"} 
r,l,t
0.0,132,2.043578
1.0,162,3.080365
1.0,174,4.190235
0.0,144,5.150973
3.0,239,6.655626
0.0,144,7.555028
1.0,167,8.606363
0.0,165,9.630787
2.0,195,10.872151
0.0,142,11.762573
1.0,195,12.951321
1.0,163,13.991992
4.0,335,16.140983
1.0,189,17.302316
0.0,146,18.244731
1.0,181,19.342128
1.0,152,20.298306
0.0,158,21.270801
5.0,364,23.533498
1.0,195,24.720283
5.0,354,26.930715
4.0,307,28.791273
1.0,161,29.822188
0.0,141,30.676413
2.0,214,31.989985
0.0,180,33.117631
4.0,269,34.752731
4.0,303,36.634917
4.0,298,38.465799
3.0,278,40.166378
5.0,332,42.172425
1.0,166,43.148014
4.0,298,44.984396
3.0,230,46.394928
2.0,198,47.58689
0.0,128,48.371303
1.0,170,49.404595
1.0,187,50.554677
2.0,230,52.00779
3.0,242,53.507296
2.0,204,54.74406
2.0,232,56.238263
4.0,256,57.819546
7.0,450,60.519087
6.0,378,62.795442
4.0,263,64.398677
6.0,341,66.417931
3.0,257,67.962969
6.0,334,69.999462
7.0,400,72.406027
6.0,351,74.483936
6.0,363,76.700867
6.0,366,78.907993
11.0,430,81.44462
7.0,430,83.980923
5.0,374,86.218413
10.0,382,88.5363
6.0,381,90.802494
9.0,502,93.813784
12.0,423,96.25748
18.0,674,100.218959
5.0,293,101.953984
11.0,469,104.711273
12.0,493,107.629148
7.0,385,109.922219
9.0,457,112.612366
11.0,612,116.238889
11.0,497,119.138145
7.0,395,121.509975
4.0,295,123.25585
8.0,455,125.919158
11.0,378,128.166422
12.0,448,130.82257
1.0,185,131.941772
5.0,353,134.099144
4.0,275,135.734942
8.0,502,138.766208
12.0,587,142.190187
10.0,533,145.326796
7.0,390,147.642356
15.0,659,151.528711
7.0,398,153.892992
7.0,322,155.789955
10.0,508,158.815284
7.0,373,161.002011
9.0,311,162.841758
12.0,611,166.439651
10.0,524,169.491077
9.0,445,172.147372
16.0,635,175.886608
10.0,547,179.096601
11.0,478,181.928279
14.0,553,185.187111
10.0,466,187.964568
7.0,372,190.109685
3.0,217,191.394634
9.0,428,193.901431
22.0,731,198.186816
17.0,696,202.228377
12.0,483,205.072494
6.0,398,207.406152
4.0,284,209.074532
5.0,312,210.884161
6.0,370,213.068026
7.0,402,215.423942
10.0,421,217.927384
15.0,575,221.301348
15.0,444,223.881835
9.0,473,226.641867
11.0,557,229.90572
8.0,405,232.298351
8.0,413,234.723799
14.0,678,238.630696
15.0,664,242.519794
3.0,218,243.813842
15.0,629,247.454751
11.0,412,249.884459
9.0,468,252.623157
7.0,418,255.068167
12.0,319,256.938575
13.0,525,260.025996
15.0,635,263.746915
8.0,453,266.39364
4.0,305,268.210047
4.0,283,269.881663
9.0,480,272.681876
