# {"t_start": 1562269505.3562915, "env_id": "Breakout-ramNoFrameskip-v4"} 
r,l,t
0.0,150,2.204249
1.0,195,3.426509
3.0,266,5.163884
0.0,148,6.104707
2.0,207,7.413958
0.0,158,8.400818
2.0,237,9.893043
2.0,230,11.331413
2.0,229,12.737366
9.0,422,15.481236
0.0,142,16.336773
4.0,280,18.093892
1.0,170,19.133533
4.0,300,20.988054
5.0,361,23.174096
5.0,351,25.406608
2.0,211,26.712653
10.0,456,29.520114
1.0,166,30.555758
5.0,348,32.715262
1.0,189,33.852752
5.0,289,35.61586
11.0,511,38.778986
5.0,342,40.872783
1.0,210,42.11938
1.0,200,43.335789
9.0,404,45.808738
1.0,167,46.798701
2.0,190,47.963325
5.0,350,50.123749
1.0,175,51.20571
2.0,221,52.618719
8.0,407,55.082878
3.0,241,56.608265
2.0,200,57.874895
2.0,234,59.273532
6.0,344,61.345822
2.0,223,62.683442
12.0,497,65.676649
7.0,411,68.152802
7.0,418,70.66243
3.0,263,72.231082
4.0,254,73.761502
7.0,411,76.256976
4.0,247,77.745276
7.0,452,80.419485
12.0,504,83.428287
13.0,553,86.70352
9.0,499,89.716373
8.0,470,92.509727
9.0,382,94.77609
8.0,482,97.598278
17.0,598,101.115929
6.0,398,103.457871
3.0,254,104.981961
4.0,287,106.657777
5.0,335,108.665733
6.0,384,110.917087
17.0,607,114.510208
8.0,456,117.226925
10.0,472,119.95991
2.0,188,121.099669
9.0,409,123.519849
13.0,583,126.973698
11.0,409,129.395722
4.0,288,131.082807
4.0,290,132.833772
15.0,613,136.554768
6.0,367,138.742654
6.0,399,141.092561
12.0,401,143.449706
7.0,379,145.697229
10.0,483,148.533616
8.0,455,151.212245
10.0,447,153.862702
9.0,471,156.626237
6.0,364,158.795107
19.0,584,162.237428
5.0,319,164.137217
9.0,526,167.22524
7.0,403,169.578588
14.0,558,172.875305
11.0,490,175.766292
12.0,506,178.734255
16.0,655,182.640845
8.0,435,185.17966
7.0,390,187.483919
16.0,580,190.871504
3.0,240,192.292375
7.0,357,194.400217
6.0,401,196.732444
6.0,360,198.847261
13.0,547,202.015937
10.0,372,204.228994
22.0,683,208.214118
7.0,374,210.383087
12.0,522,213.490809
17.0,662,217.394578
11.0,543,220.573347
9.0,437,223.105436
14.0,568,226.435003
27.0,656,230.293547
10.0,367,232.443705
8.0,452,235.09422
16.0,705,239.164653
13.0,519,242.204712
16.0,672,246.122091
7.0,397,248.465443
5.0,310,250.262913
15.0,632,253.970326
12.0,323,255.86156
9.0,404,258.249655
10.0,473,261.038866
15.0,557,264.29223
15.0,539,267.444331
7.0,403,269.826557
14.0,539,272.971514
13.0,458,275.66547
4.0,288,277.354264
9.0,435,279.896688
3.0,215,281.155833
25.0,738,285.545186
19.0,619,289.12417
10.0,547,292.313906
7.0,376,294.510593
9.0,357,296.618615
22.0,634,300.317966
8.0,421,302.786661
18.0,696,306.842678
13.0,597,310.316804
9.0,326,312.193961
12.0,502,315.214712
11.0,547,318.459391
8.0,300,320.252259
8.0,460,322.924056
6.0,361,325.041672
12.0,445,327.657402
11.0,588,331.076238
20.0,454,333.765738
6.0,364,335.911811
7.0,389,338.173163
11.0,517,341.200849
8.0,480,344.018247
14.0,593,347.476852
16.0,573,350.808569
9.0,506,353.763554
5.0,327,355.690276
8.0,400,358.047203
16.0,471,360.770778
8.0,441,363.343901
27.0,932,368.755754
10.0,340,370.769007
11.0,535,374.626292
15.0,708,378.823397
9.0,458,381.521673
13.0,568,384.824196
13.0,529,387.971303
8.0,402,390.273977
20.0,746,394.678945
10.0,504,397.614763
24.0,730,401.822247
13.0,576,405.188662
13.0,557,408.425931
18.0,723,412.614941
11.0,510,415.577088
16.0,617,419.147248
14.0,579,422.502337
9.0,443,425.084676
13.0,587,428.505874
18.0,738,432.801591
14.0,633,436.494143
16.0,479,439.271019
14.0,675,443.240354
16.0,575,446.57488
15.0,536,449.704111
21.0,888,454.89445
13.0,455,457.543712
14.0,632,461.191825
17.0,538,464.337461
7.0,329,466.25235
23.0,721,470.425702
14.0,392,472.707994
31.0,803,477.381788
23.0,594,480.885213
12.0,424,483.324206
14.0,475,486.085581
20.0,760,490.523638
22.0,663,494.415459
22.0,858,499.421667
25.0,786,503.959937
21.0,495,506.847683
21.0,767,511.315093
24.0,809,516.001243
11.0,480,518.772361
14.0,646,522.545914
15.0,678,526.473972
13.0,556,529.709991
10.0,559,532.943375
3.0,255,534.406044
21.0,719,538.578202
20.0,845,543.855119
17.0,725,548.05572
15.0,598,551.510903
11.0,514,554.483711
20.0,683,558.439334
17.0,499,561.341982
16.0,440,563.901506
6.0,404,566.244878
18.0,729,570.501968
25.0,777,574.971557
35.0,1005,580.7847
11.0,548,583.96356
19.0,615,587.516434
20.0,745,591.854411
13.0,618,595.43659
5.0,295,597.168741
25.0,651,600.922536
22.0,807,605.607936
22.0,761,610.021363
13.0,587,613.379301
15.0,620,617.063578
4.0,292,618.765804
16.0,733,622.99317
11.0,433,625.505288
15.0,674,629.412964
15.0,652,633.18205
37.0,998,638.916134
32.0,1011,644.776055
16.0,569,648.058128
27.0,712,652.224315
8.0,389,654.455025
12.0,437,657.249746
8.0,399,659.631806
8.0,377,661.792964
39.0,1075,668.058259
23.0,673,671.944175
39.0,1129,678.462295
13.0,450,681.069868
34.0,1030,687.201407
19.0,741,691.479719
18.0,662,695.335196
34.0,978,701.013774
7.0,403,703.424408
18.0,705,707.516284
15.0,651,711.285894
12.0,474,714.037964
22.0,648,717.781606
11.0,460,720.469757
6.0,340,722.414587
12.0,449,725.025266
20.0,613,728.567661
20.0,606,732.113674
14.0,610,735.639288
13.0,477,738.422982
21.0,647,742.145866
12.0,515,745.15697
7.0,400,747.447048
31.0,962,753.054798
19.0,773,757.550836
28.0,792,762.091485
16.0,597,765.541265
14.0,601,769.05625
10.0,463,771.722806
14.0,513,774.681709
22.0,743,778.973921
31.0,937,784.36556
7.0,370,786.505919
15.0,624,790.099046
26.0,882,795.181583
13.0,573,798.50546
34.0,938,803.909333
20.0,575,807.269737
26.0,754,811.58283
25.0,802,816.206197
38.0,871,821.238067
31.0,912,826.511848
35.0,1097,832.849172
24.0,520,835.844609
23.0,808,840.476665
27.0,744,844.792939
45.0,1010,850.574262
34.0,1031,856.540559
29.0,858,861.531635
26.0,928,866.863145
18.0,650,870.649483
12.0,545,873.794929
25.0,939,879.233034
20.0,585,882.609708
39.0,1251,889.793604
13.0,550,892.97654
33.0,1003,898.770728
18.0,642,902.462018
13.0,487,905.29111
6.0,351,907.303994
41.0,1072,913.47285
31.0,774,918.010064
27.0,539,921.106501
28.0,860,926.059817
18.0,624,929.658671
11.0,515,932.627931
10.0,457,935.284747
12.0,549,938.430852
28.0,906,943.638247
24.0,736,947.867211
37.0,725,952.084519
16.0,620,955.674681
28.0,672,959.558595
34.0,875,964.618857
17.0,598,968.084258
17.0,639,971.769736
22.0,800,976.547869
15.0,406,978.915763
18.0,615,982.455168
38.0,1012,988.282091
28.0,903,993.503724
24.0,923,998.808279
21.0,921,1004.163499
17.0,563,1007.414829
9.0,426,1009.896239
33.0,1154,1016.554893
12.0,552,1019.719913
18.0,495,1022.577038
32.0,918,1027.852402
34.0,1177,1034.667553
26.0,545,1037.806705
27.0,882,1042.913611
36.0,791,1047.440241
33.0,941,1052.901669
35.0,818,1057.582066
26.0,675,1061.477768
12.0,429,1063.928408
23.0,568,1067.239244
26.0,960,1072.764672
42.0,1147,1079.362173
13.0,526,1082.404761
37.0,1026,1088.275684
28.0,821,1093.019225
30.0,721,1097.148487
19.0,807,1101.808085
6.0,312,1103.590145
23.0,686,1107.551624
31.0,1024,1113.441389
25.0,825,1118.247735
33.0,919,1123.530049
51.0,1308,1131.091608
20.0,617,1134.602966
46.0,1122,1141.065567
12.0,551,1144.217234
24.0,878,1149.267327
40.0,1091,1155.562121
23.0,740,1159.853317
24.0,909,1165.053422
16.0,630,1168.683189
25.0,805,1173.32928
13.0,600,1176.779456
33.0,624,1180.364233
40.0,706,1184.448952
30.0,843,1189.31744
14.0,635,1192.977496
38.0,978,1198.60232
23.0,582,1201.931839
34.0,1047,1207.942024
12.0,529,1210.981864
27.0,1000,1216.807379
20.0,746,1221.12997
26.0,994,1226.854438
32.0,935,1232.34185
35.0,1024,1238.233516
20.0,641,1242.069572
26.0,568,1245.371105
26.0,940,1250.776062
26.0,919,1257.358326
27.0,781,1262.646418
36.0,1069,1269.422549
19.0,561,1272.669888
11.0,393,1274.933317
28.0,710,1279.057886
29.0,975,1284.643727
38.0,881,1289.737717
22.0,799,1294.344627
29.0,895,1299.49792
24.0,886,1304.654595
24.0,831,1309.442512
31.0,868,1314.444807
17.0,717,1318.577289
28.0,937,1323.967659
26.0,749,1328.30613
31.0,992,1334.011042
28.0,615,1337.520054
37.0,914,1342.785492
21.0,680,1346.709605
12.0,524,1349.736755
15.0,499,1352.565158
26.0,990,1358.291385
37.0,996,1364.015403
45.0,1240,1371.387313
22.0,813,1376.123603
19.0,597,1379.558613
