# {"t_start": 1562269505.3569665, "env_id": "Breakout-ramNoFrameskip-v4"} 
r,l,t
1.0,166,2.323146
0.0,131,3.136485
1.0,164,4.166663
0.0,139,5.078784
0.0,147,6.019312
1.0,166,7.059869
0.0,154,8.054599
0.0,173,9.121937
2.0,235,10.59096
5.0,362,12.840664
0.0,142,13.732972
0.0,133,14.589985
0.0,128,15.459426
4.0,341,17.5604
0.0,125,18.357142
9.0,419,20.9302
4.0,282,22.649012
0.0,143,23.58058
0.0,137,24.413384
0.0,149,25.324141
2.0,200,26.577633
4.0,322,28.513572
1.0,188,29.733471
3.0,254,31.311075
9.0,494,34.311483
4.0,280,36.056023
4.0,303,37.911956
1.0,216,39.276462
3.0,257,40.813832
2.0,213,42.083173
6.0,345,44.173632
7.0,451,46.927994
1.0,177,48.012667
3.0,278,49.714965
2.0,202,50.967297
4.0,276,52.722996
5.0,294,54.510629
2.0,233,55.985035
4.0,318,57.959996
2.0,220,59.273263
8.0,470,62.097506
1.0,181,63.201745
7.0,409,65.643557
4.0,264,67.232715
10.0,456,69.977279
4.0,305,71.79378
5.0,335,73.821863
9.0,425,76.405755
4.0,323,78.355694
6.0,323,80.249634
3.0,250,81.749576
9.0,342,83.754213
12.0,519,86.874038
2.0,230,88.258575
1.0,160,89.207032
10.0,385,91.521647
6.0,336,93.518485
14.0,525,96.58066
12.0,487,99.439874
4.0,305,101.246879
0.0,132,102.027247
9.0,483,104.866515
6.0,335,106.859781
17.0,575,110.258103
7.0,409,112.675052
5.0,325,114.609394
5.0,313,116.449431
7.0,250,117.935738
8.0,442,120.525644
4.0,303,122.340148
9.0,404,124.729885
11.0,513,127.749638
11.0,476,130.542223
8.0,474,133.467021
11.0,399,135.840375
6.0,338,137.873677
13.0,630,141.574639
14.0,700,145.728748
9.0,456,148.392727
13.0,502,151.355318
10.0,375,153.581074
13.0,579,156.975294
8.0,411,159.442969
2.0,186,160.527553
13.0,445,163.173831
5.0,369,165.326121
3.0,264,166.871552
10.0,425,169.356224
8.0,453,172.038892
14.0,515,175.067177
8.0,450,177.736593
11.0,516,180.768142
9.0,425,183.31494
10.0,379,185.551287
5.0,314,187.36423
10.0,457,190.052033
11.0,609,193.623801
9.0,427,196.140357
17.0,715,200.344189
9.0,492,203.202355
18.0,573,206.543793
6.0,347,208.592655
12.0,495,211.51582
13.0,447,214.138426
12.0,455,216.783802
9.0,436,219.345298
11.0,519,222.387837
8.0,440,224.960527
23.0,565,228.27337
10.0,502,231.222691
12.0,541,234.381968
9.0,451,237.013794
9.0,466,239.72564
14.0,582,243.115663
15.0,479,245.904589
13.0,575,249.2993
8.0,439,251.857888
4.0,284,253.498444
12.0,578,256.893177
9.0,434,259.444964
7.0,401,261.822562
12.0,554,265.070695
11.0,428,267.568204
7.0,359,269.670548
6.0,391,271.948968
8.0,410,274.365045
9.0,495,277.276863
14.0,571,280.618552
13.0,483,283.502845
21.0,653,287.316159
21.0,614,290.90125
14.0,536,294.010066
7.0,402,296.365271
12.0,316,298.230232
25.0,818,303.023557
8.0,469,305.745212
17.0,671,309.64276
8.0,482,312.437782
7.0,454,315.169297
7.0,348,317.288558
11.0,413,319.693193
6.0,343,321.710459
6.0,348,323.752789
17.0,475,326.532289
6.0,361,328.658814
20.0,484,331.488791
26.0,862,336.536833
8.0,393,338.832481
7.0,388,341.102898
7.0,397,343.429239
10.0,513,346.428664
7.0,426,348.926852
30.0,919,354.268495
17.0,675,358.262979
19.0,738,362.518168
16.0,532,365.607827
23.0,717,369.777021
13.0,446,373.202503
11.0,541,376.349635
9.0,469,379.151138
27.0,744,383.481537
13.0,583,386.910101
11.0,546,390.074839
6.0,360,392.18812
15.0,611,395.771425
2.0,190,396.890425
15.0,518,399.896283
19.0,546,403.051675
18.0,533,406.172669
12.0,544,409.342887
23.0,875,414.375342
