# {"t_start": 1562269505.1125555, "env_id": "Breakout-ramNoFrameskip-v4"} 
r,l,t
0.0,142,2.389579
2.0,215,3.755613
0.0,130,4.601076
1.0,178,5.745529
3.0,266,7.42663
0.0,173,8.509577
1.0,161,9.524791
0.0,157,10.519316
1.0,176,11.632036
3.0,272,13.315961
0.0,142,14.200238
2.0,253,15.872772
4.0,334,17.926076
4.0,342,20.04243
5.0,338,22.126998
2.0,218,23.439712
0.0,135,24.322406
2.0,225,25.726708
1.0,190,26.890981
1.0,193,28.054622
1.0,164,29.073632
5.0,354,31.299758
1.0,174,32.362693
0.0,153,33.298585
4.0,308,35.177581
2.0,240,36.661521
2.0,214,37.969177
2.0,203,39.22904
1.0,161,40.202749
5.0,335,42.222975
5.0,333,44.245351
13.0,552,47.619752
6.0,372,49.878005
1.0,181,51.006473
1.0,183,52.146979
0.0,147,53.106735
2.0,236,54.512729
4.0,292,56.374117
8.0,425,58.980791
6.0,317,60.883862
6.0,365,63.079491
9.0,414,65.57727
6.0,361,67.745818
5.0,305,69.583984
7.0,253,71.107126
2.0,208,72.323172
9.0,495,75.315775
7.0,353,77.443533
2.0,228,78.837391
3.0,245,80.281158
2.0,186,81.372466
2.0,186,82.495773
5.0,319,84.386726
18.0,499,87.377428
10.0,449,90.061495
17.0,399,92.414063
2.0,225,93.800975
16.0,589,97.231967
9.0,468,99.972122
12.0,523,103.056253
7.0,252,104.550826
12.0,433,107.121001
3.0,236,108.513086
11.0,507,111.525084
8.0,381,113.74206
5.0,338,115.755943
10.0,492,118.651782
5.0,297,120.385698
9.0,477,123.245222
2.0,242,124.703228
6.0,229,125.995994
5.0,308,127.840228
9.0,417,130.285259
4.0,278,131.972433
7.0,377,134.262237
5.0,353,136.399547
0.0,126,137.148734
14.0,566,140.506691
16.0,638,144.268215
4.0,262,145.817964
7.0,434,148.349322
11.0,402,150.706643
5.0,344,152.761172
8.0,423,155.253748
9.0,419,157.732665
6.0,362,159.889638
7.0,451,162.543951
21.0,864,167.64266
8.0,424,170.116165
6.0,336,172.108076
7.0,389,174.416867
9.0,474,177.179226
11.0,388,179.498874
14.0,490,182.397958
14.0,557,185.680914
9.0,370,187.84421
12.0,568,191.171973
15.0,599,194.705829
8.0,464,197.415894
8.0,371,199.570729
6.0,317,201.433023
14.0,538,204.5914
14.0,633,208.27318
7.0,445,210.874221
6.0,379,213.105132
24.0,762,217.620022
15.0,549,220.842844
12.0,446,223.439123
11.0,519,226.462835
3.0,249,227.938873
5.0,303,229.704411
9.0,478,232.507656
9.0,466,235.245638
6.0,323,237.114139
10.0,458,239.789286
13.0,609,243.322722
13.0,605,246.852017
10.0,453,249.52728
4.0,243,250.94559
6.0,359,253.044294
13.0,555,256.30165
9.0,450,258.952966
4.0,263,260.47367
13.0,555,263.724937
5.0,317,265.624531
3.0,212,266.830873
5.0,309,268.667118
12.0,550,271.876176
9.0,508,274.859932
5.0,338,276.828076
13.0,524,279.927196
13.0,485,282.789309
10.0,507,285.802845
4.0,302,287.534228
13.0,488,290.348099
2.0,205,291.568853
13.0,615,295.156826
12.0,403,297.533498
25.0,708,301.679094
19.0,741,306.00923
25.0,845,310.918359
15.0,560,314.178718
9.0,526,317.38535
21.0,877,322.508512
9.0,327,324.453143
11.0,561,327.721325
7.0,401,330.080464
17.0,558,333.359283
7.0,357,335.463643
9.0,487,338.289828
13.0,477,341.080063
14.0,637,344.830657
13.0,575,348.170284
13.0,480,350.963107
12.0,475,353.738472
15.0,607,357.277464
12.0,564,360.582921
10.0,495,363.464594
22.0,796,368.113878
9.0,435,370.654529
17.0,649,375.191184
14.0,549,378.413202
12.0,571,381.813462
9.0,482,384.591758
5.0,323,386.533393
8.0,440,389.090177
12.0,345,391.134357
19.0,731,395.393733
25.0,936,400.849296
15.0,521,403.870095
8.0,433,406.381317
18.0,628,410.032502
19.0,795,414.606724
12.0,594,418.098029
10.0,476,420.863646
7.0,359,422.955809
5.0,329,424.850396
21.0,769,429.332041
11.0,471,432.053163
10.0,458,434.737297
16.0,586,438.121592
17.0,610,441.711638
10.0,351,443.781722
9.0,443,446.330501
12.0,579,449.707233
17.0,757,454.132545
20.0,780,458.678777
17.0,647,462.425741
7.0,260,463.951295
13.0,610,467.488393
17.0,685,471.451478
15.0,525,474.518513
14.0,388,476.793788
12.0,546,479.973465
8.0,415,482.382603
15.0,503,485.306794
13.0,572,488.647146
15.0,584,492.108662
10.0,472,494.85835
10.0,463,497.555858
14.0,623,501.145505
8.0,376,503.325454
15.0,621,506.932537
8.0,483,509.759712
23.0,873,514.814969
24.0,816,519.553715
22.0,804,524.247064
23.0,794,528.856702
7.0,372,531.006824
28.0,885,536.13568
25.0,799,541.086289
13.0,548,544.298186
20.0,760,548.690089
11.0,534,551.787522
17.0,716,555.935852
8.0,431,558.406557
24.0,692,562.425198
16.0,698,566.513613
17.0,664,570.343901
9.0,399,572.671631
21.0,636,576.342863
22.0,819,581.089897
33.0,890,586.236815
27.0,599,589.689186
15.0,700,593.773515
37.0,831,598.607147
26.0,801,603.253304
16.0,460,605.924278
15.0,634,609.587281
28.0,887,614.695497
16.0,738,619.073871
14.0,482,621.851754
4.0,264,623.38426
12.0,461,626.043116
36.0,1043,632.0989
23.0,845,636.928245
11.0,518,639.939466
28.0,789,644.508819
26.0,653,648.265834
27.0,570,651.624548
13.0,463,654.276494
11.0,502,657.413612
7.0,367,659.64176
16.0,644,663.387761
19.0,728,667.607949
27.0,816,672.336982
13.0,576,675.669633
15.0,687,679.608281
17.0,650,683.425512
32.0,1038,689.554502
25.0,903,694.798639
15.0,572,698.110709
22.0,736,702.459898
13.0,561,705.713985
15.0,561,708.953114
26.0,823,713.735737
15.0,579,717.081328
49.0,1343,724.867177
18.0,625,728.467031
11.0,580,731.861089
34.0,1062,738.040531
12.0,548,741.197317
22.0,570,744.518378
7.0,408,746.887128
24.0,696,750.906985
9.0,469,753.646716
15.0,433,756.168865
8.0,432,758.681272
28.0,820,763.39347
15.0,720,767.575963
4.0,241,768.961499
13.0,639,772.66826
21.0,775,777.123443
33.0,880,782.201024
19.0,845,787.077486
14.0,537,790.165829
17.0,690,794.161805
21.0,762,798.542458
16.0,566,801.819522
32.0,930,807.188518
17.0,714,811.275204
44.0,1244,818.482333
28.0,885,823.593617
26.0,858,828.575036
30.0,720,832.68867
16.0,485,835.516845
14.0,599,838.923596
15.0,667,842.785472
29.0,855,847.740862
32.0,657,851.501954
45.0,1095,857.855666
21.0,702,861.911772
27.0,952,867.377848
10.0,563,870.650878
29.0,968,876.225334
17.0,774,880.723508
21.0,653,884.506341
15.0,596,887.897245
46.0,1051,893.962643
26.0,784,898.505412
53.0,1307,906.04631
22.0,979,911.701356
20.0,705,915.824118
20.0,664,919.631423
42.0,902,924.787607
9.0,431,927.309674
25.0,914,932.586496
24.0,734,936.827311
24.0,699,940.864526
24.0,476,943.571413
24.0,942,949.037637
22.0,726,953.220237
23.0,679,957.178758
35.0,865,962.197109
20.0,693,966.176064
29.0,919,971.469522
17.0,696,975.624371
16.0,582,979.031767
16.0,619,982.597856
30.0,847,987.500237
15.0,643,991.199071
22.0,753,995.519274
11.0,491,998.367785
18.0,711,1002.460951
15.0,576,1005.832828
11.0,559,1009.062191
42.0,1203,1016.023711
20.0,747,1020.299242
12.0,534,1023.40963
51.0,1119,1029.845222
16.0,567,1033.128938
51.0,1118,1039.568722
21.0,678,1043.509663
20.0,694,1047.462211
28.0,884,1052.588822
31.0,1024,1058.46208
32.0,823,1063.175734
27.0,808,1067.877873
35.0,1043,1073.904356
26.0,934,1079.249544
40.0,1098,1085.556356
25.0,694,1089.55025
25.0,901,1094.752071
33.0,1077,1100.940865
19.0,692,1104.927524
25.0,934,1110.295369
28.0,891,1115.447489
24.0,564,1118.748419
31.0,1069,1124.899224
45.0,1044,1130.915065
27.0,881,1135.972575
43.0,1145,1142.55052
23.0,803,1147.169525
35.0,964,1152.712358
38.0,1175,1159.484914
37.0,899,1164.671642
17.0,735,1168.878683
37.0,961,1174.39781
18.0,748,1178.702986
35.0,1072,1184.925528
42.0,1097,1191.229468
44.0,1007,1196.997565
20.0,879,1202.067398
54.0,1300,1209.529408
32.0,872,1214.544461
26.0,939,1220.032784
24.0,773,1224.524487
29.0,1016,1230.421581
37.0,902,1235.663525
29.0,880,1240.885515
13.0,600,1244.337966
17.0,770,1248.777127
13.0,620,1252.350091
17.0,735,1257.942637
21.0,770,1263.109046
31.0,777,1268.200766
16.0,592,1271.627023
42.0,1222,1278.671021
25.0,878,1283.753411
16.0,714,1287.894267
30.0,707,1291.91604
20.0,745,1296.198456
27.0,636,1299.894422
4.0,296,1301.597305
22.0,836,1306.447151
30.0,817,1311.143876
38.0,1006,1316.940444
15.0,711,1321.06127
15.0,609,1324.556346
19.0,687,1328.529522
30.0,878,1333.585037
33.0,985,1339.286389
25.0,776,1343.726949
26.0,805,1348.333275
30.0,960,1353.842491
22.0,664,1357.663552
15.0,650,1361.416662
12.0,579,1364.746392
19.0,654,1368.655503
26.0,774,1373.204766
26.0,805,1377.892769
21.0,611,1381.586143
