# {"t_start": 1562269505.343675, "env_id": "Breakout-ramNoFrameskip-v4"} 
r,l,t
0.0,148,2.198194
2.0,224,3.628196
1.0,177,4.779051
1.0,161,5.807736
0.0,141,6.695235
1.0,168,7.776211
1.0,154,8.722573
1.0,204,10.008378
2.0,216,11.360835
1.0,200,12.577342
0.0,144,13.497627
0.0,154,14.460362
0.0,141,15.413817
1.0,208,16.699753
2.0,214,18.034132
3.0,254,19.609723
2.0,203,20.853608
0.0,131,21.682685
1.0,175,22.727046
1.0,157,23.743548
3.0,266,25.366618
0.0,162,26.363463
7.0,421,28.977422
5.0,352,31.17854
3.0,236,32.633327
4.0,309,34.496758
2.0,230,35.921532
5.0,334,37.970235
1.0,192,39.16871
4.0,267,40.782856
10.0,431,43.389352
3.0,259,44.950181
0.0,138,45.804361
1.0,188,46.938971
1.0,185,48.07568
2.0,227,49.468584
7.0,332,51.51125
0.0,135,52.379137
2.0,186,53.517115
3.0,273,55.268926
6.0,387,57.632214
5.0,308,59.488122
9.0,336,61.525808
3.0,244,62.991527
2.0,242,64.461028
3.0,244,65.904412
2.0,185,67.013068
3.0,275,68.674397
6.0,355,70.817121
5.0,305,72.656087
1.0,169,73.646884
1.0,167,74.66507
3.0,260,76.233942
4.0,284,77.959534
4.0,324,79.87712
8.0,401,82.264705
8.0,399,84.651787
11.0,440,87.285646
10.0,488,90.192575
2.0,207,91.428973
1.0,160,92.364928
6.0,225,93.732794
9.0,469,96.456796
13.0,454,99.114892
4.0,280,100.774923
12.0,533,103.905623
14.0,554,107.189675
3.0,255,108.741241
11.0,566,112.042405
7.0,402,114.434419
8.0,459,117.162456
8.0,456,119.807034
4.0,302,121.627027
6.0,366,123.786891
12.0,426,126.291098
4.0,285,127.977312
9.0,401,130.335803
7.0,414,132.782854
9.0,415,135.363452
9.0,447,138.075813
7.0,418,140.530818
14.0,508,143.527759
5.0,313,145.320407
11.0,366,147.508153
8.0,417,149.925569
13.0,576,153.375681
14.0,551,156.601444
9.0,428,159.174561
10.0,365,161.32433
6.0,380,163.575493
6.0,386,165.836996
5.0,315,167.680143
18.0,616,171.305795
15.0,671,175.248903
5.0,334,177.231974
3.0,241,178.637738
16.0,565,182.000593
9.0,335,183.964354
11.0,427,186.491997
13.0,464,189.203383
19.0,599,192.728383
7.0,412,195.17248
24.0,769,199.632758
2.0,209,200.866007
7.0,379,203.082595
8.0,377,205.302792
15.0,569,208.637102
9.0,465,211.345799
15.0,524,214.445691
9.0,458,217.138601
5.0,317,218.971569
14.0,495,221.883551
11.0,634,225.587424
24.0,664,229.486888
12.0,564,232.791077
14.0,534,235.912456
11.0,444,238.459727
15.0,666,242.371926
7.0,392,244.668434
12.0,566,247.944447
11.0,540,251.124208
13.0,543,254.301681
11.0,501,257.270626
17.0,605,260.816865
10.0,399,263.121463
10.0,510,266.122483
8.0,302,267.910713
20.0,611,271.490751
4.0,298,273.268595
10.0,602,276.755024
24.0,699,280.866533
13.0,538,284.065986
11.0,539,287.208604
11.0,524,290.267782
15.0,589,293.686668
25.0,889,298.919652
17.0,497,301.809524
15.0,511,304.78754
42.0,1048,310.908538
17.0,695,314.975573
10.0,506,318.028394
12.0,566,321.338414
10.0,550,324.61193
13.0,553,327.84342
12.0,468,330.550175
4.0,284,332.264196
11.0,474,335.036788
4.0,316,336.873751
7.0,452,339.520712
11.0,518,342.540148
13.0,513,345.558597
13.0,527,348.627531
8.0,451,351.272863
23.0,857,356.271528
20.0,699,360.334988
32.0,895,365.536326
7.0,367,367.691821
26.0,781,373.050028
16.0,694,377.07102
19.0,672,381.046162
10.0,482,383.8676
14.0,662,387.784664
9.0,489,390.638019
16.0,577,394.022654
13.0,525,397.079998
12.0,553,400.284866
12.0,519,403.276825
