# {"t_start": 1561908906.9951613, "env_id": "Catcher-v0"} 
r,l,t
-4.0,104,6.81409
-6.0,33,8.082142
-3.0,149,13.783533
-3.0,143,19.212158
-4.0,97,22.943952
-5.0,76,25.808816
-5.0,72,28.51158
-6.0,35,29.822946
-4.0,105,33.718665
-2.0,180,40.497104
-6.0,44,42.158726
-6.0,42,43.7659
14.0,696,70.003765
-2.0,174,76.538009
16.0,705,107.288169
-4.0,123,113.459261
-6.0,35,115.252893
-5.0,78,119.009426
20.0,810,153.142334
59.0,1734,226.976613
-1.0,218,241.752932
8.0,491,274.45646
23.0,886,330.74278
5.0,394,356.592445
28.0,1012,424.040189
127.0,2880,614.958767
30.0,1087,687.785704
