# {"t_start": 1561908907.04782, "env_id": "Catcher-v0"} 
r,l,t
-6.0,33,3.986832
-6.0,35,5.377631
-5.0,75,8.294352
-6.0,42,9.889264
-5.0,66,12.373661
-5.0,75,15.287617
-6.0,33,16.529035
-5.0,77,19.436189
-5.0,80,22.515992
-6.0,33,23.750769
-4.0,120,28.276038
-5.0,76,31.108407
-2.0,171,37.524966
0.0,249,46.910824
-3.0,140,52.127773
-1.0,200,59.640846
26.0,1015,99.556183
-6.0,33,101.510146
-5.0,76,105.860915
3.0,339,122.62568
-4.0,92,126.573365
26.0,1019,168.532926
72.0,2010,270.652103
45.0,1468,365.769578
32.0,1107,438.988693
30.0,1085,510.042042
137.0,3053,714.562544
41.0,1349,805.688231
