# {"t_start": 1561908906.954254, "env_id": "Catcher-v0"} 
r,l,t
-6.0,39,4.327049
-4.0,99,8.158714
-6.0,46,9.930907
-4.0,107,14.032389
-6.0,37,15.454335
-3.0,124,20.119417
-5.0,69,22.790804
-3.0,158,28.737759
-6.0,44,30.39965
-5.0,76,33.198593
-6.0,46,34.92408
-6.0,35,36.259775
-1.0,216,44.403377
-6.0,39,45.863649
-6.0,44,47.538549
-5.0,79,50.450824
-4.0,92,53.895731
-3.0,131,58.83863
4.0,354,72.235317
-3.0,145,77.740236
0.0,238,86.784809
17.0,769,123.552002
-6.0,35,125.090108
71.0,2029,206.47663
54.0,1656,308.955805
88.0,2248,458.299825
33.0,1145,533.996678
26.0,977,599.039599
21.0,859,656.409386
56.0,1688,770.314934
21.0,838,826.960912
