# {"t_start": 1561908906.9646041, "env_id": "Catcher-v0"} 
r,l,t
-6.0,33,4.084436
-6.0,46,5.89104
-6.0,41,7.490509
-4.0,110,11.689315
-6.0,39,13.170161
-6.0,42,14.786619
-6.0,46,16.544805
-4.0,113,20.814355
-6.0,35,22.154158
-4.0,108,26.262128
1.0,283,36.842933
-6.0,35,38.149266
-4.0,120,42.704515
0.0,242,51.737161
-3.0,138,56.920764
-5.0,72,59.639784
-5.0,73,62.438192
9.0,537,82.806615
3.0,329,95.933014
14.0,681,129.340055
23.0,913,166.913333
-2.0,177,173.878109
35.0,1212,226.388374
90.0,2261,374.191361
19.0,795,426.994883
145.0,3155,636.177652
