# {"t_start": 1561908907.013959, "env_id": "Catcher-v0"} 
r,l,t
-5.0,77,5.769454
-4.0,110,10.009375
-6.0,39,11.498223
-2.0,156,17.419729
-6.0,44,19.079667
-6.0,39,20.556218
-2.0,176,27.262052
-5.0,72,29.959612
-4.0,108,33.983858
2.0,299,45.250511
-2.0,189,52.314127
1.0,256,61.9752
2.0,312,73.812888
-4.0,122,78.413067
19.0,811,115.073683
-6.0,42,117.198195
-2.0,169,124.982007
0.0,250,135.413606
-6.0,41,137.271508
19.0,792,169.545326
26.0,995,208.383184
39.0,1308,289.571757
75.0,2064,426.311295
-6.0,35,428.62174
24.0,935,490.109171
35.0,1182,568.228526
4.0,358,592.600155
89.0,2316,748.00834
3.0,325,770.116403
22.0,888,830.230798
