# {"t_start": 1561908907.0123012, "env_id": "Catcher-v0"} 
r,l,t
-3.0,134,7.959814
-2.0,163,14.211033
-5.0,73,16.975055
-5.0,71,19.649176
-3.0,148,25.30608
-6.0,41,26.854051
-6.0,46,28.578265
-6.0,39,30.044183
-1.0,197,37.403398
-5.0,63,39.754745
-1.0,198,47.24815
-3.0,140,52.467834
-1.0,227,61.036317
-5.0,70,63.672152
9.0,549,84.519192
-3.0,137,89.704903
-3.0,143,95.735878
-6.0,39,97.283196
-2.0,163,106.556696
2.0,304,121.624691
-6.0,33,123.10444
19.0,761,154.593613
5.0,391,170.581698
88.0,2290,290.441879
48.0,1520,391.281197
74.0,2035,525.544962
45.0,1411,619.696348
21.0,861,677.394142
24.0,913,738.805259
39.0,1304,827.078467
