# {"t_start": 1561908906.9539385, "env_id": "Catcher-v0"} 
r,l,t
-6.0,44,4.524896
-6.0,33,5.819695
-4.0,114,10.223429
-5.0,84,13.415589
-6.0,39,14.906031
-5.0,69,17.517672
4.0,381,31.906371
-6.0,44,33.545247
-5.0,64,35.944083
-3.0,130,40.855163
-2.0,184,47.801363
10.0,531,67.815373
-4.0,115,72.128638
-6.0,41,73.701198
-5.0,63,76.071965
13.0,651,103.613243
-6.0,46,106.169775
-1.0,196,116.152261
-4.0,108,121.304537
118.0,2789,246.616635
54.0,1617,351.285985
38.0,1231,433.130956
96.0,2359,589.301403
61.0,1764,707.731483
60.0,1756,826.426815
