# {"t_start": 1561915482.727617, "env_id": "citycopter-v0"} 
r,l,t
-4.0,13,3.133958
-4.0,12,4.011089
-5.0,6,4.441993
-5.0,10,5.169647
-4.0,13,6.071476
-5.0,11,6.761522
-1.0,34,9.038281
-5.0,9,9.563921
-4.0,13,10.319946
-5.0,9,10.915464
-5.0,4,11.141864
-4.0,14,12.113579
-5.0,9,12.844205
-5.0,6,13.41546
-5.0,11,14.427535
-5.0,9,15.305081
-5.0,6,15.777267
-5.0,5,16.259166
-5.0,5,16.645644
-4.0,18,18.105613
-2.0,31,20.465041
-3.0,20,21.970557
-3.0,22,23.458653
-5.0,10,24.103978
-3.0,24,25.776901
-3.0,26,27.438136
-4.0,17,28.503248
-3.0,26,30.140632
-1.0,38,32.424325
-5.0,7,32.820921
-3.0,24,34.217637
-1.0,34,36.148339
-3.0,26,37.680845
-1.0,35,39.711766
-4.0,16,40.675718
-3.0,24,42.066494
-3.0,23,43.420541
-1.0,34,45.320195
3.0,61,48.651589
-2.0,33,50.398755
0.0,43,52.793056
-3.0,23,54.062196
-1.0,41,56.276714
-3.0,20,57.347878
2.0,53,60.12008
4.0,68,63.73889
-2.0,33,65.592534
2.0,55,68.555133
21.0,183,78.136843
0.0,44,80.366998
0.0,46,82.745977
0.0,45,85.095086
-1.0,35,86.974182
0.0,45,89.315247
-1.0,38,91.200242
9.0,101,96.446968
0.0,47,99.041002
0.0,45,101.383338
10.0,106,106.790061
2.0,54,109.518077
1.0,49,111.969314
0.0,45,114.277597
23.0,194,126.784798
8.0,96,133.936713
7.0,91,141.263842
-4.0,16,142.551472
34.0,261,162.870177
10.0,104,170.892926
15.0,144,181.679681
7.0,92,188.692184
338.0,2139,347.73288
18.0,156,359.440636
32.0,251,376.909762
74.0,512,415.214938
10.0,104,423.095102
