# {"t_start": 1561915482.8551593, "env_id": "citycopter-v0"} 
r,l,t
-5.0,5,2.410805
-5.0,6,2.842457
-5.0,6,3.316705
-4.0,14,4.312869
-5.0,7,4.831881
-5.0,7,5.310359
-5.0,10,6.008274
-5.0,11,6.736197
-5.0,10,7.404565
-5.0,7,7.831523
-5.0,11,8.578399
-5.0,9,9.15498
-4.0,17,10.125082
-5.0,5,10.451378
-4.0,14,11.336961
-1.0,35,14.304004
-5.0,9,15.180194
-5.0,7,15.762833
-3.0,26,17.888419
-5.0,7,18.397178
-4.0,17,19.768449
-4.0,16,20.938652
-2.0,33,23.258811
-2.0,32,25.441303
0.0,47,28.453043
0.0,44,31.185113
-3.0,26,32.692185
-2.0,31,34.520672
-3.0,26,35.935059
-2.0,33,37.916641
-3.0,24,39.290901
-1.0,35,41.37457
-4.0,16,42.301952
-2.0,28,43.920698
-3.0,26,45.401351
-2.0,29,46.948709
-2.0,29,48.531461
0.0,46,50.990879
-2.0,31,52.742698
-2.0,31,54.443464
-3.0,21,55.541327
7.0,92,60.409035
-2.0,32,62.082339
-1.0,34,63.97032
-4.0,16,64.852033
0.0,46,67.258301
0.0,46,69.757061
-1.0,38,71.790405
2.0,53,74.513747
1.0,49,77.077999
0.0,48,79.531662
2.0,55,82.393627
-2.0,31,83.980987
1.0,50,86.683629
-1.0,38,88.623898
13.0,124,95.025739
16.0,147,102.835197
2.0,55,105.663486
2.0,53,108.307436
16.0,148,115.882006
8.0,96,121.812738
10.0,106,129.657728
16.0,148,141.230547
8.0,94,148.763292
18.0,161,161.179257
22.0,191,175.816444
8.0,94,182.92707
6.0,83,189.136633
29.0,233,207.241213
80.0,554,247.374084
44.0,311,270.866923
116.0,767,327.448036
56.0,398,357.409932
44.0,313,379.741898
59.0,409,410.1914
109.0,722,464.039773
