# {"t_start": 1562175104.1783001, "env_id": "Catcher-v0"} 
r,l,t
-6.0,42,3.965064
-6.0,42,5.842926
-6.0,33,7.343459
-6.0,41,9.047138
-5.0,73,12.139158
-6.0,41,13.847847
-6.0,39,15.447067
-6.0,35,16.869973
-6.0,41,18.578478
-3.0,151,24.752609
-5.0,76,27.811088
-6.0,35,29.220924
-5.0,72,32.17539
-6.0,35,33.658974
-6.0,33,34.99045
-4.0,108,39.471758
-6.0,39,40.985525
-4.0,99,45.347139
-6.0,44,47.211342
-6.0,35,48.662461
-3.0,146,54.57081
0.0,246,64.869762
-4.0,107,69.476384
12.0,630,96.491946
-4.0,107,100.607297
-3.0,119,105.20364
44.0,1560,172.5242
9.0,514,193.033597
42.0,1511,252.877973
96.0,2834,365.039869
119.0,3236,494.86334
12.0,600,519.475836
1.0,260,529.971657
17.0,760,561.622126
82.0,2530,663.976001
25.0,1022,706.806288
43.0,1593,773.504435
145.0,3808,927.698146
45.0,1628,992.944384
134.0,3557,1135.219291
99.0,2938,1252.436891
46.0,1692,1320.251044
22.0,881,1355.243376
-6.0,42,1357.168512
77.0,2408,1453.15579
39.0,1424,1509.298859
187.0,4506,1689.033506
