# {"t_start": 1562175104.0812497, "env_id": "Catcher-v0"} 
r,l,t
-6.0,41,3.99882
-6.0,33,5.384743
-5.0,72,8.601878
-4.0,100,12.869274
-6.0,42,14.586865
-5.0,79,17.849077
-6.0,41,19.557568
-5.0,75,22.570822
-4.0,103,26.744644
-5.0,73,29.739089
-4.0,100,33.876404
-5.0,65,36.543981
-5.0,77,39.718396
-4.0,104,44.142288
-4.0,107,48.673843
-6.0,35,50.117146
-5.0,72,52.997494
-1.0,207,61.643865
-1.0,208,70.528369
-4.0,117,75.621205
2.0,299,88.370085
-3.0,149,94.783677
25.0,1022,139.485497
18.0,821,173.127156
11.0,594,196.795676
1.0,266,207.040896
43.0,1520,267.2846
13.0,682,294.526824
-5.0,77,297.618155
116.0,3250,426.578189
2.0,288,437.956071
27.0,1122,483.658927
29.0,1159,530.676734
19.0,888,567.784852
90.0,2750,678.901441
138.0,3689,830.791364
4.0,358,845.463763
2.0,295,857.022083
33.0,1315,911.781296
60.0,2028,992.950652
25.0,1043,1034.841165
114.0,3251,1164.720016
151.0,3903,1320.670397
69.0,2290,1411.927636
16.0,727,1440.988977
140.0,3682,1587.086281
5.0,409,1603.155907
-6.0,41,1604.86474
149.0,3885,1759.527066
