# {"t_start": 1562174264.7425501, "env_id": "citycopter-v0"} 
r,l,t
-4.0,12,3.04785
-4.0,12,3.634589
-5.0,6,3.950216
-5.0,6,4.298958
-5.0,9,4.76524
-2.0,29,6.088835
-5.0,11,6.668046
2.0,52,8.793468
-4.0,17,9.468354
-5.0,7,9.751765
-3.0,25,10.775263
-5.0,6,11.063996
-1.0,34,12.429876
-5.0,11,12.893898
-4.0,15,13.461345
-5.0,7,13.791371
-5.0,9,14.126855
0.0,43,15.687785
-2.0,28,16.692587
-2.0,29,17.670244
-3.0,19,18.260044
-3.0,23,19.066884
-2.0,30,20.055678
1.0,50,21.651757
-1.0,37,22.888287
-1.0,39,24.268394
-1.0,35,25.460547
-2.0,27,26.350044
-2.0,31,27.413689
0.0,45,28.696264
-3.0,23,29.392056
-4.0,18,29.958993
-2.0,33,30.976464
-4.0,16,31.519609
0.0,44,32.945863
0.0,43,34.18057
-1.0,41,35.361084
7.0,93,38.020397
-1.0,37,39.169305
0.0,46,40.472907
0.0,46,41.732725
-3.0,23,42.397305
5.0,72,44.363047
-2.0,31,45.127877
-3.0,23,45.82157
2.0,53,47.244787
16.0,147,50.937091
0.0,43,51.997768
0.0,46,53.254811
2.0,55,54.759157
0.0,44,55.947478
0.0,44,57.035119
-2.0,31,57.763765
0.0,46,58.891876
5.0,76,60.830202
-4.0,17,61.257424
5.0,77,63.190822
0.0,46,64.421613
0.0,44,65.641115
0.0,46,66.796912
0.0,46,67.916167
0.0,43,69.044194
0.0,43,70.12495
2.0,56,71.49992
0.0,45,72.594723
7.0,93,74.898631
10.0,107,77.402413
0.0,46,78.748642
8.0,95,81.050398
0.0,43,82.051724
2.0,53,83.337478
23.0,195,88.193846
0.0,44,89.31232
10.0,105,92.640302
40.0,299,102.393535
31.0,250,109.714666
80.0,550,124.829281
2.0,53,126.197628
11.0,109,129.086205
68.0,467,140.404387
53.0,373,149.272659
10.0,106,151.790873
34.0,261,158.116661
83.0,565,171.220352
52.0,362,179.657267
79.0,542,192.618415
200.0,1284,222.511815
8.0,96,224.598623
262.0,1680,264.6481
404.0,2551,326.958088
397.0,2508,388.213555
0.0,44,389.302793
131.0,864,410.081174
1611.0,10000,655.252709
1172.0,7322,836.132083
216.0,1390,870.388006
