# {"t_start": 1562174264.81781, "env_id": "citycopter-v0"} 
r,l,t
-5.0,5,2.597656
-5.0,9,3.064645
-5.0,7,3.429809
-5.0,9,3.880744
-5.0,6,4.215596
-5.0,5,4.485994
-5.0,11,5.044692
-5.0,9,5.42183
-5.0,5,5.675584
-5.0,11,6.182259
0.0,48,8.196985
-5.0,5,8.424999
-5.0,9,8.795391
-3.0,23,9.731947
-3.0,26,10.786419
-5.0,4,10.991063
-2.0,31,12.231993
-5.0,4,12.408278
-3.0,26,13.439477
-5.0,6,13.718037
-1.0,38,15.103629
-4.0,17,15.740557
-4.0,18,16.346385
-4.0,14,16.876253
-3.0,22,17.594653
-3.0,26,18.472935
-4.0,12,18.873605
-3.0,23,19.615068
-2.0,28,20.493457
-3.0,24,21.307468
-2.0,32,22.316821
-3.0,22,23.101093
-4.0,13,23.551682
-1.0,37,24.883502
-3.0,20,25.549919
-3.0,22,26.23866
-2.0,29,27.201466
1.0,49,28.664917
-2.0,32,29.602547
-2.0,27,30.46073
2.0,53,32.280469
-2.0,31,33.182511
-3.0,22,33.774317
1.0,50,35.202893
-2.0,33,36.16902
0.0,46,37.499365
4.0,65,39.528168
0.0,43,40.690983
0.0,46,41.91685
-4.0,17,42.403865
-3.0,23,43.001254
-1.0,38,44.032598
2.0,53,45.513482
0.0,43,46.705459
-1.0,40,47.759766
12.0,122,50.763369
0.0,46,51.865294
6.0,79,54.036633
-3.0,23,54.684736
2.0,53,56.120384
-1.0,40,57.121639
40.0,300,64.643834
15.0,145,68.357621
33.0,254,74.69907
0.0,48,75.845881
0.0,48,76.974534
0.0,48,78.28632
-4.0,18,78.832774
16.0,148,82.314356
8.0,96,84.631456
0.0,46,85.814196
10.0,104,88.420882
23.0,197,94.693151
14.0,136,98.909439
23.0,197,105.17623
10.0,106,108.165345
8.0,98,111.14136
109.0,719,130.434958
18.0,157,134.309622
141.0,924,156.248961
123.0,817,175.314155
313.0,1990,222.054201
31.0,244,227.62585
395.0,2503,288.096894
206.0,1333,320.387443
108.0,717,337.986754
181.0,1166,366.133791
80.0,553,379.567363
491.0,3095,454.999614
1611.0,10000,700.915733
192.0,1234,731.327452
1155.0,7202,909.362643
479.0,3016,984.021759
