# {"t_start": 1562174264.8397145, "env_id": "citycopter-v0"} 
r,l,t
-5.0,9,2.781966
-5.0,8,3.213982
-5.0,7,3.535687
-5.0,6,3.853124
-5.0,9,4.369904
-3.0,25,5.531858
-5.0,6,5.817288
-5.0,11,6.331921
-5.0,7,6.690871
-2.0,33,7.967583
-5.0,6,8.292861
-4.0,14,8.862833
-4.0,17,9.53173
-3.0,21,10.386165
-5.0,10,10.813127
-5.0,6,11.100221
-4.0,17,11.785017
-5.0,4,11.910524
-3.0,22,12.864866
-3.0,21,13.687524
-5.0,4,13.820778
0.0,43,15.464233
-4.0,18,16.081155
-5.0,8,16.337719
-5.0,6,16.548134
-4.0,14,17.051653
-1.0,36,18.208162
-4.0,14,18.716526
-2.0,27,19.598359
-1.0,34,20.731644
2.0,52,22.377774
-4.0,18,23.0125
-1.0,35,24.281557
-4.0,17,24.859849
-2.0,27,25.76217
-2.0,32,26.796702
-3.0,25,27.566998
0.0,44,28.90056
0.0,46,30.309001
0.0,44,31.743351
0.0,46,33.207601
-3.0,23,33.826682
0.0,42,35.048801
-3.0,26,35.790444
-4.0,16,36.301963
-4.0,13,36.59743
0.0,43,37.849264
-2.0,31,38.788944
20.0,169,43.503558
0.0,45,44.696538
4.0,68,46.597519
2.0,55,48.087229
-1.0,34,48.98156
0.0,43,49.981683
13.0,128,53.266012
2.0,54,54.734339
0.0,48,56.015336
8.0,96,58.287536
10.0,104,60.956598
8.0,97,63.363478
0.0,42,64.512137
18.0,156,68.506221
2.0,53,69.899128
2.0,52,71.167189
0.0,45,72.271199
31.0,248,78.45816
8.0,98,80.853833
0.0,44,81.872996
0.0,47,83.027459
8.0,96,85.400452
0.0,44,86.435889
8.0,95,88.886486
8.0,96,91.675037
40.0,298,101.534443
8.0,98,104.613287
0.0,43,105.901906
16.0,149,110.190022
8.0,97,113.098565
90.0,603,129.128834
80.0,555,142.523916
26.0,211,147.641562
92.0,616,162.039501
262.0,1678,201.507463
587.0,3683,289.437795
193.0,1239,319.491306
1.0,49,320.696317
661.0,4145,421.243723
51.0,360,430.164933
171.0,1113,457.491569
814.0,5092,582.462158
1515.0,9424,815.019163
204.0,1316,847.160867
