# {"t_start": 1561546099.8774273, "env_id": "citycopter-v0"} 
r,l,t
2.0,48,3.116866
-4.0,14,4.183058
-5.0,9,4.914592
-5.0,7,5.434709
-5.0,8,6.113899
-5.0,9,6.788218
-5.0,8,7.400379
-4.0,12,8.304691
-4.0,11,9.275169
-5.0,8,9.857592
-5.0,6,10.304615
-4.0,13,11.280161
-5.0,7,11.783719
-3.0,16,12.96823
-5.0,9,13.522994
-1.0,32,15.719929
-1.0,31,17.626777
-2.0,23,19.116511
-1.0,30,21.038002
0.0,38,23.344694
-1.0,29,25.226678
-1.0,29,26.943459
-1.0,30,28.922068
-2.0,22,30.22693
-2.0,22,31.716641
-4.0,13,32.487475
3.0,50,35.502451
-4.0,10,36.103917
0.0,35,38.236659
