# {"t_start": 1561891424.8339026, "env_id": "citycopter-v0"} 
r,l,t
-5.0,9,3.187488
-5.0,9,4.17959
-5.0,6,4.726954
-4.0,16,6.467502
-4.0,15,7.805989
-3.0,22,9.996382
-5.0,11,11.08108
-5.0,8,11.840202
-5.0,11,12.975703
-4.0,18,14.449715
-3.0,20,16.174004
-3.0,25,18.212901
-2.0,31,20.771912
-5.0,7,21.395637
-5.0,6,21.943217
-4.0,18,23.634422
-5.0,11,24.727097
-4.0,12,25.990027
-5.0,10,26.932426
-3.0,22,29.067915
-4.0,14,30.455975
-2.0,29,33.039914
0.0,43,36.656939
-5.0,7,37.295232
-3.0,26,39.443945
0.0,47,43.520598
-2.0,29,45.938371
-3.0,20,47.722426
-4.0,17,49.322604
2.0,53,54.203431
-4.0,17,55.798225
-4.0,17,57.386842
-3.0,23,59.530694
-3.0,21,61.62262
-3.0,26,64.169897
-4.0,12,65.312223
-5.0,7,65.969893
-4.0,14,67.318375
-5.0,9,68.113885
2.0,53,72.595881
-1.0,34,75.452651
-2.0,29,78.010392
-2.0,31,80.533002
-2.0,29,83.06543
0.0,46,86.859967
-4.0,17,88.335763
-4.0,16,89.688184
-1.0,39,92.948135
-3.0,20,94.75358
-5.0,6,95.311866
0.0,43,98.874659
1.0,49,102.904775
2.0,54,107.405403
-4.0,18,109.076848
-5.0,10,110.034098
-3.0,19,111.838834
-4.0,12,113.024056
-4.0,16,114.570631
-5.0,10,115.419451
-2.0,27,117.647938
-3.0,20,119.453733
-1.0,37,122.532781
-4.0,16,123.905468
3.0,58,128.727013
-3.0,25,130.73909
3.0,57,135.420874
-3.0,22,137.275829
-3.0,19,139.207935
-1.0,40,143.08706
-2.0,33,145.805128
-4.0,17,147.383075
-2.0,31,150.23941
-2.0,31,152.847197
-3.0,21,154.675269
-3.0,23,156.651875
2.0,53,160.98249
-3.0,25,163.079305
-4.0,16,164.773107
-3.0,24,167.347068
3.0,61,173.38015
-2.0,31,176.186215
3.0,61,181.714158
-3.0,22,183.626334
2.0,50,188.052903
-4.0,17,189.594702
-1.0,37,192.653548
-2.0,31,195.33454
-2.0,30,197.762585
-3.0,20,199.332257
-3.0,24,201.275412
-2.0,33,204.136278
-3.0,24,206.15249
-5.0,9,206.843326
-1.0,38,210.035558
-2.0,31,212.616315
-3.0,23,214.660769
-4.0,17,216.108802
-3.0,23,218.069117
-4.0,16,219.548629
-4.0,16,220.901825
-5.0,7,221.509396
-4.0,14,222.824569
-5.0,8,223.59365
-5.0,10,224.587047
-5.0,6,225.159461
-5.0,11,226.242507
-5.0,9,227.178745
-4.0,16,228.727891
0.0,46,232.807372
-3.0,25,234.959563
-2.0,28,237.425309
-4.0,15,238.823277
-5.0,10,239.665621
-1.0,35,242.652533
-4.0,17,244.212494
-4.0,18,245.802446
1.0,49,250.004393
-3.0,25,252.153852
-2.0,30,254.645491
-1.0,38,257.865702
-1.0,36,260.903642
-1.0,34,264.005865
-5.0,11,264.970102
-1.0,41,268.326863
-3.0,23,270.224944
-4.0,13,271.359688
-3.0,19,273.067619
6.0,83,280.316442
-3.0,26,282.616683
7.0,91,290.168983
-4.0,18,291.773188
