# {"t_start": 1561891424.8668683, "env_id": "citycopter-v0"} 
r,l,t
-5.0,9,3.157744
-5.0,10,4.254938
-5.0,7,4.902952
-5.0,7,5.661215
-5.0,6,6.315923
-5.0,7,6.987524
-5.0,10,7.900815
-4.0,15,9.383692
-4.0,13,10.63488
-5.0,11,11.703339
-5.0,5,12.200168
-2.0,32,15.04456
-1.0,41,18.505112
2.0,53,23.056185
-5.0,11,24.052338
-5.0,9,25.021455
-2.0,30,27.962331
-4.0,16,29.574738
-5.0,8,30.299381
-5.0,8,31.1021
-5.0,9,31.89063
0.0,47,35.796801
-3.0,19,37.543774
-3.0,26,39.729974
-4.0,17,41.16275
-4.0,15,42.469062
0.0,47,46.392774
-3.0,25,48.711064
-4.0,17,50.382059
3.0,59,55.740877
-2.0,29,58.47884
-3.0,21,60.442776
-3.0,26,63.069308
-4.0,13,64.313262
-4.0,12,65.472273
-3.0,23,67.694031
3.0,59,72.654977
-1.0,38,75.85168
-4.0,16,77.279805
-3.0,24,79.272506
-3.0,24,81.356041
5.0,78,87.845659
-3.0,20,89.55969
1.0,49,93.810419
0.0,45,97.581036
-4.0,17,99.05382
4.0,68,104.582593
-3.0,23,106.49195
-1.0,34,109.632431
-5.0,11,110.644011
-3.0,19,112.497253
-5.0,8,113.31901
-5.0,8,113.996913
2.0,54,118.721815
0.0,46,122.595323
-2.0,31,125.198356
-3.0,23,127.111597
-3.0,23,129.059647
0.0,46,132.778569
-2.0,31,135.279073
-3.0,24,137.34764
0.0,43,141.815684
-3.0,20,143.463764
-3.0,25,145.488564
-1.0,36,148.851015
-2.0,31,151.525369
-5.0,10,152.420195
-1.0,37,155.545311
0.0,46,159.382572
0.0,45,163.129684
-2.0,31,166.555459
-2.0,33,169.842002
-3.0,26,172.362014
-1.0,36,175.646645
-1.0,39,179.173403
-4.0,17,180.766019
-4.0,17,182.348253
-5.0,10,183.126752
-3.0,21,184.983477
-4.0,17,186.480125
-1.0,40,190.046197
-3.0,23,191.958288
-3.0,23,193.917661
-2.0,29,196.328554
7.0,88,203.558059
-3.0,19,205.200834
-1.0,38,208.302253
-3.0,23,210.252769
-1.0,41,213.699192
-3.0,23,215.705091
5.0,74,222.195397
-4.0,16,223.726513
-3.0,20,225.723504
-5.0,7,226.432277
-5.0,6,227.032203
-4.0,18,228.795174
-3.0,26,231.052829
-3.0,26,233.406209
-4.0,17,234.810453
-2.0,27,237.180245
-5.0,9,238.056258
-3.0,22,240.021911
-2.0,32,242.724151
-2.0,32,245.58876
-2.0,32,248.352978
10.0,104,257.157051
-3.0,20,258.869004
-4.0,14,260.053254
-4.0,18,261.56949
0.0,44,265.463717
1.0,51,269.638033
-5.0,6,270.200042
-4.0,18,271.716825
-5.0,10,272.655102
-3.0,23,274.7347
-4.0,17,276.220368
5.0,72,282.457239
0.0,44,286.090008
-3.0,22,288.040763
-3.0,26,290.111684
-2.0,29,292.70934
-3.0,23,294.561394
0.0,44,298.227464
6.0,84,305.483094
-2.0,28,307.868919
-3.0,20,309.613412
-3.0,21,311.449738
-4.0,15,312.779462
-1.0,34,316.042531
-5.0,6,316.679879
-4.0,13,317.995934
-4.0,14,319.440822
-1.0,36,322.910023
-4.0,14,324.338932
-4.0,12,325.454857
-5.0,6,326.035765
-4.0,14,327.283002
-4.0,18,328.9665
-4.0,17,330.427658
-3.0,23,332.453536
-3.0,19,334.211183
-3.0,23,336.065707
2.0,51,340.323707
-1.0,41,343.733477
-3.0,25,346.052852
-5.0,10,347.064017
-4.0,18,348.636886
-3.0,25,351.006294
-5.0,11,352.088008
-3.0,21,353.93582
-3.0,23,355.972619
-3.0,21,357.622618
-2.0,29,360.089979
-2.0,28,362.455555
4.0,67,368.288025
-4.0,15,369.936801
-5.0,7,370.643786
-4.0,17,372.193109
-4.0,16,373.670624
-5.0,11,374.724061
-4.0,18,376.426193
0.0,42,380.151739
-4.0,17,381.790952
-3.0,22,383.643789
-4.0,15,384.984883
-5.0,10,385.885939
-4.0,17,387.351297
-2.0,29,389.781906
-3.0,19,391.49693
-3.0,21,393.411389
-5.0,8,394.103997
-3.0,26,396.281884
-3.0,25,398.50856
-3.0,25,400.637092
-2.0,27,403.064372
0.0,46,407.261808
15.0,143,419.538153
0.0,42,423.11858
-2.0,29,425.649701
3.0,61,430.771562
-3.0,22,432.573881
5.0,77,438.973304
-2.0,32,441.471354
1.0,49,445.713071
2.0,56,450.578769
-2.0,29,453.089985
-3.0,24,455.161231
0.0,46,458.957528
-3.0,22,460.856014
-2.0,31,463.379454
7.0,90,470.929353
-2.0,28,473.239439
5.0,76,479.731135
-3.0,26,482.071571
3.0,61,487.569147
-4.0,12,488.582002
-1.0,36,491.762264
-4.0,12,492.854416
-2.0,33,495.585981
-3.0,25,497.790313
-4.0,17,499.33564
-5.0,10,500.170045
2.0,54,505.026155
-3.0,21,506.786454
-3.0,21,508.571355
-1.0,38,511.936342
-4.0,14,513.06524
-2.0,32,515.896947
-2.0,31,518.356133
-3.0,26,520.489604
-1.0,39,523.795563
0.0,48,528.281038
0.0,42,532.003239
-4.0,14,533.168673
-3.0,19,534.867285
-1.0,36,537.955915
4.0,66,543.838813
-2.0,32,546.621059
3.0,61,551.979642
-1.0,41,555.556565
-4.0,16,556.791149
-4.0,16,558.140423
-3.0,25,560.315778
-4.0,17,561.860802
0.0,42,565.631478
-3.0,26,567.8818
-1.0,38,571.101513
-3.0,24,573.085415
-3.0,23,575.244568
-3.0,19,576.899956
-3.0,21,578.731536
0.0,44,582.437549
0.0,45,586.421698
-1.0,37,589.528035
-3.0,26,591.84992
2.0,50,596.177636
0.0,48,600.118912
-3.0,23,602.045524
0.0,44,605.991652
-2.0,33,608.907707
-2.0,31,611.601602
-4.0,16,613.105514
-2.0,31,615.741356
0.0,43,619.239677
-1.0,37,622.349617
4.0,68,627.936762
-4.0,17,629.309774
0.0,42,632.933817
-4.0,16,634.320402
-1.0,40,637.648899
-4.0,17,639.125709
-2.0,30,641.573472
-1.0,37,644.715522
2.0,53,649.429371
0.0,44,653.197356
-2.0,27,655.575223
-3.0,26,657.773031
0.0,45,661.836118
0.0,46,665.756186
7.0,87,672.915022
-2.0,32,675.891776
-3.0,20,677.745183
-1.0,40,681.310822
-3.0,25,683.552347
