# {"t_start": 1561551522.7696447, "env_id": "Catcher-v0"} 
r,l,t
-5.0,71,6.621642
-6.0,37,9.980058
-6.0,42,13.721821
-6.0,44,17.807106
-6.0,41,21.5174
-6.0,44,25.499937
-6.0,33,28.558638
-4.0,118,39.249336
-5.0,65,45.133463
-5.0,74,51.858668
-6.0,41,55.533311
-6.0,42,59.343085
-5.0,75,66.442952
-5.0,80,73.659149
-6.0,44,77.599292
-6.0,44,81.61662
-6.0,37,84.980645
-6.0,35,88.175021
-6.0,39,91.619999
-6.0,42,95.297222
-6.0,46,99.565588
-6.0,46,103.700576
-5.0,83,111.185752
-6.0,35,114.374323
-6.0,39,118.054603
