# {"t_start": 1562159624.4974456, "env_id": "Catcher-v0"} 
r,l,t
-5.0,66,2.779227
-6.0,46,3.162446
-6.0,41,3.468883
-6.0,39,3.771607
-5.0,75,4.33646
-6.0,42,4.656213
-6.0,41,4.958567
-5.0,67,5.47208
-6.0,35,5.742408
-2.0,184,7.146964
-4.0,106,7.92045
-6.0,46,8.258132
-2.0,169,9.460802
-4.0,119,10.348781
-4.0,111,11.210025
11.0,566,15.245352
-2.0,169,16.473383
-6.0,39,16.759487
-3.0,145,17.816511
-6.0,41,18.129202
3.0,358,20.582915
-1.0,209,22.025807
-1.0,206,23.409321
9.0,508,26.812751
41.0,1311,35.532961
71.0,1928,48.290174
55.0,1674,59.258267
24.0,906,65.209279
7.0,450,68.16966
63.0,1772,79.783276
0.0,242,81.406231
45.0,1387,90.535966
89.0,2286,105.670903
85.0,2284,120.90476
3.0,315,123.015437
136.0,3022,144.553788
8.0,491,147.842633
47.0,1484,158.350694
84.0,2251,173.724087
55.0,1661,184.790555
88.0,2226,199.609487
69.0,1983,213.206803
33.0,1140,220.765868
102.0,2484,237.983998
44.0,1430,250.628048
71.0,1989,277.449291
105.0,2551,313.500432
86.0,2192,333.804776
154.0,3268,375.52695
130.0,2983,413.56599
83.0,2117,431.379611
199.0,3793,460.403635
29.0,1050,477.111336
124.0,2898,516.285302
54.0,1636,538.02127
182.0,3661,585.932693
74.0,1994,610.281718
91.0,2311,625.334535
147.0,3131,645.687212
193.0,3684,669.594842
187.0,3688,701.463591
170.0,3340,747.346789
135.0,3007,787.55925
115.0,2766,823.534751
165.0,3427,867.035005
114.0,2695,903.075096
160.0,3305,946.666282
218.0,3995,999.026026
160.0,3374,1043.84417
168.0,3455,1088.878029
194.0,3705,1137.154153
169.0,3387,1183.309231
137.0,3019,1222.860678
136.0,3041,1262.425984
204.0,3850,1313.461666
189.0,3688,1362.542337
153.0,3237,1404.669917
114.0,2711,1441.091679
169.0,3535,1488.016985
149.0,3249,1530.306902
158.0,3316,1573.981289
173.0,3527,1620.787462
166.0,3445,1665.283477
126.0,2802,1702.438738
173.0,3438,1748.083223
152.0,3261,1791.063202
186.0,3637,1838.108017
55.0,1635,1860.026583
214.0,3944,1912.100209
160.0,3365,1954.805368
166.0,3411,1999.056332
121.0,2854,2036.033191
207.0,3873,2087.467964
89.0,2292,2118.11136
166.0,3390,2162.254205
