# {"t_start": 1561978471.078803, "env_id": "colorswitch-v0"} 
r,l,t
-6.0,69,5.898229
-5.0,40,8.049358
9.0,64,11.449644
-5.0,42,13.672828
9.0,64,17.034906
-5.0,39,19.09727
-5.0,39,21.174611
-5.0,40,23.283229
-5.0,41,25.4899
-5.0,40,27.573864
-5.0,40,29.719836
9.0,67,33.268227
-5.0,40,35.361008
-5.0,40,37.491483
-5.0,41,39.697521
9.0,70,43.394631
9.0,74,47.273364
-5.0,40,49.423489
-5.0,40,51.524435
-5.0,40,53.743089
-5.0,42,56.021793
-5.0,41,58.178049
-5.0,40,60.268134
-5.0,44,62.631248
-5.0,42,64.802016
-5.0,41,67.116414
9.0,68,70.732321
-5.0,43,73.001001
-5.0,42,75.207694
-5.0,42,77.412238
-5.0,41,79.591975
-5.0,41,81.754663
-5.0,42,84.005955
-5.0,41,86.156552
9.0,67,89.65453
-5.0,40,91.757621
9.0,69,95.446727
-5.0,42,97.664208
-5.0,40,99.774927
-5.0,41,101.914245
-5.0,46,104.326663
-5.0,42,106.593149
-5.0,42,108.831924
-5.0,42,111.06162
-5.0,44,113.387527
-5.0,44,115.705047
9.0,69,119.360135
-5.0,40,121.480118
9.0,68,125.046677
-5.0,42,127.205142
9.0,66,130.635396
9.0,66,134.109613
-5.0,40,136.241589
-5.0,41,138.456409
9.0,68,142.036921
-5.0,40,144.148461
-5.0,44,146.465812
-5.0,41,148.588
9.0,71,152.324231
-5.0,41,154.484025
-5.0,42,156.70511
-5.0,42,158.909163
-5.0,42,161.120841
-5.0,41,163.288559
9.0,68,166.874585
-5.0,41,169.029814
-5.0,41,171.203717
-5.0,40,173.328164
9.0,66,176.808577
-5.0,41,178.940084
9.0,68,182.573038
-5.0,40,184.667862
9.0,65,188.084829
-5.0,40,190.252934
-5.0,40,192.356505
9.0,65,195.789977
9.0,66,199.269752
-5.0,40,201.478604
-5.0,40,203.778347
-5.0,40,205.885954
-5.0,40,207.995057
-5.0,39,210.080154
-5.0,40,212.235868
-5.0,43,214.510768
-5.0,40,216.595001
-5.0,41,218.733193
-5.0,42,220.934501
-5.0,41,223.117646
9.0,68,226.732008
-5.0,43,228.986693
-5.0,40,231.185236
-5.0,41,233.483687
9.0,66,237.066366
9.0,65,240.527942
-5.0,42,242.773909
9.0,66,246.240993
-5.0,43,248.541059
-5.0,41,250.72372
-5.0,44,253.005666
-5.0,40,255.14779
-5.0,41,257.320589
-5.0,43,259.599003
9.0,70,263.348713
-5.0,44,265.675309
-5.0,42,267.877886
-5.0,42,270.161911
9.0,67,273.901748
-5.0,41,276.098467
-5.0,40,278.260888
-5.0,40,280.389386
-5.0,43,282.644944
-5.0,41,284.786334
-5.0,41,286.955551
-5.0,41,289.162109
9.0,67,292.893662
9.0,71,296.776572
-5.0,42,299.020501
-5.0,41,301.218323
-5.0,40,303.415565
-5.0,42,305.678991
-5.0,42,307.905958
9.0,67,311.418032
-5.0,43,313.698177
-5.0,40,315.829612
9.0,67,319.358901
9.0,68,323.009837
-5.0,40,325.107155
9.0,65,328.767983
-5.0,42,331.05766
-5.0,41,333.301964
-5.0,41,335.442743
9.0,66,339.026217
9.0,66,342.790454
9.0,66,346.80478
9.0,67,350.471334
-5.0,40,352.639391
-5.0,41,355.030171
-5.0,43,357.399417
-5.0,40,359.615417
-5.0,40,361.960393
-5.0,40,364.219843
-5.0,40,366.512615
-5.0,41,368.772737
-5.0,42,371.053837
9.0,65,374.583386
-5.0,40,376.746794
9.0,67,380.357677
-5.0,40,382.524133
-5.0,40,384.630721
9.0,65,388.200345
9.0,66,391.913256
-5.0,41,394.106944
-5.0,42,396.336257
-5.0,40,398.421293
-5.0,41,400.672294
-5.0,41,403.092339
9.0,66,407.416492
-5.0,41,409.790701
-5.0,45,412.196832
9.0,67,415.874172
-5.0,41,418.263166
9.0,66,421.915603
-5.0,41,424.218964
9.0,66,428.040174
-5.0,41,430.524513
-5.0,41,432.778431
-5.0,44,435.170761
-5.0,42,437.406983
-5.0,42,439.726679
-5.0,43,442.15894
-5.0,40,444.373479
-5.0,42,446.599958
-5.0,41,449.106191
-5.0,40,451.386555
9.0,65,455.060193
9.0,65,458.85392
9.0,65,463.014159
-5.0,40,465.416297
-5.0,40,467.757379
-5.0,40,470.043769
-5.0,40,472.251902
-5.0,40,474.418566
-5.0,41,476.602298
-5.0,41,478.768946
-5.0,42,481.035636
-5.0,40,483.400784
-5.0,40,485.674649
-5.0,41,487.889987
-5.0,42,490.1966
9.0,67,493.932838
9.0,65,497.573663
-5.0,41,499.96988
9.0,67,504.043168
-5.0,43,506.380852
-5.0,41,508.724278
-5.0,41,511.239835
-5.0,41,513.610909
-5.0,40,515.812122
-5.0,41,518.043676
-5.0,41,520.261991
-5.0,40,522.36226
9.0,66,525.872704
-5.0,41,528.021957
9.0,66,531.64739
9.0,66,535.252606
-5.0,41,537.474436
-5.0,41,539.716278
-5.0,42,542.045084
-5.0,41,544.302906
-5.0,40,546.672932
-5.0,43,549.099199
9.0,65,552.853428
-5.0,41,555.269192
-5.0,41,557.76159
-5.0,41,560.046762
-5.0,41,562.279969
-5.0,41,564.612478
-5.0,40,566.87492
9.0,68,570.777066
9.0,67,575.010204
9.0,67,579.559469
-5.0,41,582.049009
-5.0,40,584.306151
-5.0,40,586.610426
-5.0,41,589.264561
9.0,65,593.482633
-5.0,41,595.85007
-5.0,41,598.356206
9.0,66,602.124196
-5.0,40,604.356552
9.0,66,608.455444
-5.0,41,610.729217
-5.0,40,612.944398
9.0,67,616.759584
9.0,66,621.13886
-5.0,40,623.760611
-5.0,41,626.302948
-5.0,41,628.839983
9.0,65,632.793264
-5.0,40,635.394638
-5.0,41,638.029457
-5.0,41,640.702608
-5.0,40,643.149458
-5.0,41,645.61294
-5.0,41,647.889972
-5.0,40,650.228482
-5.0,41,652.436372
-5.0,40,654.607936
9.0,67,658.361389
-5.0,41,660.75592
-5.0,40,663.022079
9.0,65,666.982217
-5.0,41,669.210908
-5.0,40,671.484618
-5.0,43,673.819264
-5.0,41,676.18025
-5.0,40,678.644423
9.0,66,682.437402
-5.0,41,684.760751
9.0,66,688.418256
-5.0,40,690.566108
-5.0,40,692.946659
9.0,65,696.97947
-5.0,42,699.592319
-5.0,40,701.76077
-5.0,40,703.933911
9.0,65,707.47014
-5.0,42,709.713569
-5.0,40,711.882277
-5.0,39,713.952266
-5.0,40,716.157719
-5.0,40,718.400523
-5.0,41,720.631172
-5.0,41,722.896249
9.0,67,726.438158
-5.0,40,728.622502
-5.0,41,730.771942
-5.0,42,732.981302
-5.0,40,735.084628
-5.0,40,737.225589
9.0,69,740.947583
9.0,66,744.471475
-5.0,40,746.644466
-5.0,41,748.867027
-5.0,41,751.081016
-5.0,40,753.239614
9.0,67,756.789938
-5.0,42,759.021619
-5.0,40,761.162751
-5.0,40,763.30209
-5.0,41,765.43379
-5.0,41,767.604795
-5.0,41,769.797609
-5.0,43,772.212337
-5.0,42,774.560104
-5.0,41,776.838378
-5.0,41,779.050477
-5.0,40,781.191585
-5.0,42,783.488804
-5.0,40,785.671935
-5.0,43,787.942462
-5.0,41,790.141342
-5.0,40,792.290517
-5.0,40,794.542619
9.0,66,798.30994
-5.0,41,800.638285
9.0,66,804.285623
-5.0,43,806.639786
9.0,69,810.486874
9.0,68,814.330697
-5.0,40,816.521812
9.0,66,820.466881
-5.0,41,822.837336
-5.0,41,825.502987
9.0,65,829.458109
-5.0,41,832.084071
-5.0,40,834.800941
-5.0,40,837.381413
-5.0,40,839.830955
-5.0,40,842.235748
9.0,65,846.333921
-5.0,40,848.578244
-5.0,40,850.699872
-5.0,41,852.894894
-5.0,41,855.462262
-5.0,40,857.611471
-5.0,40,859.785171
-5.0,42,862.094761
-5.0,40,864.392507
9.0,65,868.574811
9.0,66,872.445434
-5.0,40,874.869622
9.0,65,878.572977
9.0,67,882.582139
9.0,66,886.628186
-5.0,40,889.360018
9.0,66,893.625268
-5.0,42,896.121765
-5.0,40,898.401818
-5.0,41,900.748019
-5.0,41,903.190395
-5.0,42,905.629425
-5.0,41,908.061477
-5.0,43,910.692358
-5.0,41,913.949456
9.0,66,917.82702
-5.0,44,920.530244
9.0,70,924.688139
-5.0,43,927.54986
-5.0,41,930.351691
-5.0,41,932.889486
9.0,68,936.956239
9.0,67,940.657684
-5.0,40,942.916394
9.0,67,946.759542
-5.0,41,949.303662
-5.0,41,951.756942
9.0,66,955.664273
-5.0,44,958.23665
-5.0,40,960.63654
-5.0,41,963.184839
9.0,67,967.004773
-5.0,41,969.419182
