# {"t_start": 1561978471.1479373, "env_id": "colorswitch-v0"} 
r,l,t
8.0,95,7.235194
-5.0,40,9.348181
-5.0,39,11.445872
-5.0,40,13.554445
9.0,64,16.910964
9.0,65,20.363904
-5.0,40,22.473335
-5.0,40,24.649613
9.0,65,28.073148
-5.0,42,30.328123
-5.0,40,32.420752
-5.0,40,34.535407
-5.0,40,36.640529
9.0,72,40.495442
-5.0,45,42.842328
-5.0,42,45.051364
-5.0,40,47.166004
-5.0,41,49.348014
-5.0,40,51.434162
9.0,70,55.270208
9.0,65,58.722737
9.0,67,62.279314
-5.0,47,64.765666
-5.0,42,67.13735
-5.0,40,69.246968
-5.0,46,71.649417
-5.0,42,73.882945
-5.0,41,76.04
-5.0,41,78.20225
9.0,67,81.763703
-5.0,40,83.890363
-5.0,41,86.036051
-5.0,42,88.249441
9.0,67,91.772544
-5.0,42,93.988385
-5.0,41,96.159866
-5.0,41,98.330629
-5.0,40,100.463194
9.0,67,103.947645
-5.0,42,106.186971
-5.0,40,108.307725
-5.0,45,110.712358
-5.0,42,112.953951
-5.0,46,115.355403
9.0,67,118.898463
-5.0,41,121.072382
-5.0,41,123.231029
9.0,68,126.768445
9.0,69,130.37623
-5.0,40,132.475003
-5.0,40,134.543682
-5.0,43,136.868163
-5.0,41,139.071124
-5.0,40,141.189707
-5.0,40,143.28033
-5.0,42,145.507886
-5.0,41,147.634791
9.0,67,151.15291
9.0,69,154.792165
-5.0,44,157.11777
-5.0,42,159.30885
9.0,70,162.997919
9.0,72,166.819215
-5.0,41,168.987775
-5.0,40,171.081528
9.0,66,174.603712
9.0,66,178.04047
-5.0,40,180.145821
-5.0,41,182.306866
-5.0,41,184.481277
-5.0,40,186.595834
-5.0,40,188.761401
-5.0,41,190.927201
-5.0,40,193.054803
9.0,65,196.44703
-5.0,40,198.539399
9.0,66,202.219965
-5.0,40,204.463365
-5.0,40,206.57641
9.0,66,210.061453
-5.0,40,212.202054
-5.0,41,214.360243
-5.0,41,216.539783
-5.0,41,218.682753
-5.0,43,220.931494
-5.0,43,223.23672
-5.0,41,225.410021
9.0,66,228.854489
9.0,66,232.5405
-5.0,41,234.759774
-5.0,40,236.943315
9.0,65,240.391266
-5.0,40,242.542593
9.0,65,245.955985
9.0,66,249.485219
9.0,67,253.015018
-5.0,47,255.521644
-5.0,43,257.78837
-5.0,40,259.912977
-5.0,45,262.31926
-5.0,42,264.553327
-5.0,45,266.891951
9.0,67,270.548296
-5.0,41,272.832464
-5.0,44,275.237338
-5.0,42,277.508486
-5.0,41,279.6898
-5.0,44,282.00933
-5.0,41,284.129869
9.0,67,287.689303
-5.0,41,289.884159
-5.0,42,292.252367
9.0,66,295.889631
9.0,67,299.496456
-5.0,55,302.437041
-5.0,47,304.967797
-5.0,41,307.181324
9.0,67,310.71095
-5.0,42,312.950158
9.0,67,316.524194
-5.0,44,318.824915
-5.0,40,320.95563
-5.0,40,323.130606
-5.0,41,325.296579
-5.0,42,327.648141
-5.0,41,329.900029
-5.0,43,332.259537
9.0,65,335.713042
-5.0,42,338.011663
9.0,69,341.852469
-5.0,43,344.39523
9.0,69,348.384429
-5.0,41,350.665351
-5.0,41,352.886927
-5.0,40,355.268561
-5.0,42,357.556703
-5.0,41,359.85911
-5.0,42,362.296758
-5.0,40,364.57183
-5.0,41,366.896906
-5.0,41,369.152727
9.0,65,372.656525
-5.0,40,374.838358
9.0,67,378.449704
-5.0,41,380.659413
-5.0,41,382.87737
-5.0,44,385.220431
-5.0,41,387.450048
-5.0,40,389.731407
-5.0,40,391.952957
-5.0,41,394.163181
-5.0,42,396.376897
-5.0,43,398.650378
-5.0,41,400.912238
-5.0,41,403.379618
-5.0,41,406.010003
-5.0,44,408.795533
9.0,67,412.426246
-5.0,44,414.810213
-5.0,42,417.155764
-5.0,47,419.882947
9.0,66,423.489094
-5.0,42,425.951866
9.0,69,430.03695
-5.0,42,432.355704
-5.0,44,434.778346
-5.0,41,436.980816
-5.0,40,439.181653
-5.0,40,441.442215
-5.0,40,443.632588
-5.0,40,445.775462
-5.0,40,448.201449
-5.0,40,450.48664
-5.0,40,452.72241
9.0,65,456.417034
-5.0,41,458.831396
-5.0,40,461.492476
9.0,66,465.481701
9.0,65,469.259864
9.0,65,472.892631
-5.0,40,474.993262
-5.0,40,477.136374
-5.0,40,479.253687
-5.0,41,481.476555
9.0,66,485.328306
-5.0,40,487.495811
-5.0,43,489.831721
-5.0,43,492.239215
9.0,66,495.914633
-5.0,44,498.382818
-5.0,46,501.243687
-5.0,43,503.786568
-5.0,40,505.990946
-5.0,41,508.274518
-5.0,40,510.702491
-5.0,40,513.103208
-5.0,40,515.306111
9.0,66,518.89224
-5.0,41,521.067755
-5.0,40,523.208854
-5.0,42,525.412657
9.0,65,528.855921
-5.0,41,531.104365
-5.0,40,533.320228
-5.0,41,535.559357
-5.0,40,537.73849
-5.0,41,539.961906
9.0,66,543.650945
-5.0,42,546.072072
-5.0,41,548.402904
-5.0,40,550.711004
-5.0,40,553.022636
-5.0,43,555.576697
-5.0,41,558.015808
-5.0,40,560.235821
-5.0,42,562.562218
9.0,66,566.317575
-5.0,41,568.567258
9.0,65,572.43187
-5.0,40,575.120606
-5.0,41,577.968532
-5.0,41,580.555116
-5.0,40,582.889722
-5.0,40,585.152613
-5.0,40,587.608658
-5.0,41,590.253757
-5.0,43,593.033038
9.0,66,596.862475
-5.0,41,599.434699
-5.0,42,601.76588
-5.0,41,604.057509
-5.0,42,606.583337
-5.0,40,609.073905
-5.0,41,611.369261
-5.0,41,613.679554
9.0,70,617.579266
9.0,65,622.067752
9.0,65,626.182413
-5.0,41,628.70399
9.0,68,632.892626
-5.0,41,635.536275
-5.0,43,638.28014
-5.0,40,640.855808
-5.0,40,643.304379
9.0,65,647.075174
-5.0,40,649.387345
-5.0,40,651.596951
-5.0,40,653.76848
-5.0,41,656.068258
9.0,65,659.74201
9.0,67,663.636154
-5.0,42,666.233652
-5.0,42,668.584508
-5.0,41,670.828973
-5.0,41,673.088813
9.0,67,676.975088
9.0,66,680.929476
9.0,65,684.58564
-5.0,41,686.882021
9.0,67,690.51189
-5.0,41,692.955111
-5.0,41,695.290324
-5.0,42,698.141508
9.0,66,701.87687
-5.0,41,704.091336
9.0,65,707.614966
9.0,66,711.178448
-5.0,40,713.282991
-5.0,43,715.666354
9.0,67,719.35465
9.0,66,723.006644
-5.0,41,725.178111
9.0,66,728.702776
-5.0,40,730.807401
-5.0,40,732.916716
-5.0,41,735.095472
-5.0,41,737.27452
-5.0,42,739.489684
-5.0,41,741.716201
-5.0,40,743.851313
-5.0,41,746.06679
-5.0,41,748.31645
-5.0,40,750.450139
-5.0,40,752.644433
9.0,66,756.160474
-5.0,42,758.356107
-5.0,40,760.499586
9.0,66,764.006183
-5.0,40,766.103503
-5.0,42,768.36212
-5.0,41,770.572904
-5.0,41,772.897969
9.0,67,776.617496
9.0,69,780.303336
-5.0,41,782.522248
-5.0,42,784.826737
9.0,67,788.394453
-5.0,40,790.55597
-5.0,40,792.727693
9.0,65,796.435221
-5.0,43,798.871527
-5.0,41,801.155287
-5.0,41,803.451155
-5.0,40,805.648933
-5.0,40,807.890292
-5.0,42,810.187758
-5.0,41,812.52904
-5.0,41,814.815927
-5.0,42,817.160718
-5.0,40,819.565154
-5.0,40,821.886244
-5.0,41,824.536048
9.0,65,828.483858
-5.0,40,830.970477
9.0,67,835.424407
-5.0,40,838.014072
-5.0,40,840.412814
9.0,67,844.598908
-5.0,40,847.025007
9.0,64,850.45319
-5.0,40,852.612173
9.0,65,856.494221
-5.0,40,858.602065
9.0,67,862.30059
-5.0,40,864.643572
-5.0,40,867.255388
-5.0,40,869.744384
-5.0,40,872.043788
-5.0,41,874.507017
-5.0,40,876.808023
-5.0,40,879.169191
-5.0,40,881.528642
-5.0,40,883.771359
-5.0,44,886.655107
-5.0,42,889.488426
-5.0,41,892.231721
-5.0,40,894.699124
-5.0,41,897.040269
-5.0,41,899.375548
-5.0,46,902.049947
-5.0,42,904.506468
9.0,71,908.74812
-5.0,43,911.305163
