# {"t_start": 1561978471.1759026, "env_id": "colorswitch-v0"} 
r,l,t
8.0,90,6.933504
-5.0,41,9.11517
9.0,64,12.529616
-5.0,39,14.57337
-5.0,39,16.613163
9.0,64,20.033265
-5.0,39,22.110754
-5.0,41,24.262889
9.0,67,27.810966
-5.0,40,29.971776
-5.0,39,32.026814
-5.0,40,34.143256
-5.0,42,36.355407
9.0,68,39.983456
-5.0,45,42.341712
9.0,67,45.877328
-5.0,43,48.170607
9.0,66,51.666321
9.0,68,55.376306
-5.0,40,57.524173
9.0,66,60.986571
-5.0,42,63.187094
-5.0,45,65.695828
-5.0,41,67.890478
-5.0,43,70.150594
-5.0,43,72.411397
9.0,71,76.175614
-5.0,46,78.572834
-5.0,41,80.75119
-5.0,40,82.883189
-5.0,41,85.077206
-5.0,43,87.324025
-5.0,44,89.608914
-5.0,40,91.726288
9.0,68,95.343153
-5.0,40,97.448823
-5.0,40,99.574286
-5.0,42,101.768834
-5.0,40,103.860756
-5.0,43,106.155895
-5.0,42,108.398403
9.0,69,112.064458
9.0,66,115.567244
-5.0,41,117.716278
9.0,67,121.267843
-5.0,42,123.467995
-5.0,40,125.581171
9.0,72,129.295796
-5.0,40,131.394608
-5.0,40,133.49363
-5.0,40,135.636369
-5.0,41,137.840859
9.0,66,141.326987
9.0,66,144.763247
-5.0,43,147.057204
-5.0,48,149.563199
-5.0,44,151.873939
-5.0,45,154.218157
-5.0,42,156.461679
-5.0,41,158.60761
-5.0,45,160.965837
9.0,67,164.483899
-5.0,43,166.789246
-5.0,42,169.012524
9.0,65,172.437156
-5.0,40,174.570602
-5.0,40,176.648939
-5.0,43,178.930611
-5.0,42,181.166736
9.0,67,184.683479
-5.0,40,186.774521
-5.0,41,189.022301
-5.0,40,191.139027
9.0,65,194.554497
9.0,66,197.978121
-5.0,40,200.096574
-5.0,41,202.513915
9.0,65,206.011967
9.0,65,209.436144
-5.0,40,211.573167
-5.0,40,213.698169
-5.0,40,215.843948
-5.0,42,218.026727
-5.0,40,220.131217
-5.0,41,222.318804
-5.0,40,224.401008
-5.0,40,226.520084
-5.0,41,228.678722
-5.0,41,230.918944
9.0,65,234.515201
-5.0,43,236.848069
9.0,66,240.373474
-5.0,40,242.510757
-5.0,41,244.661882
-5.0,42,246.914376
-5.0,41,249.073137
9.0,65,252.503764
-5.0,40,254.62661
-5.0,41,256.792679
-5.0,40,258.916934
-5.0,41,261.128064
-5.0,40,263.243682
9.0,68,266.830847
-5.0,43,269.10101
-5.0,41,271.410772
-5.0,42,273.733129
-5.0,43,276.07575
-5.0,42,278.323105
9.0,68,281.915199
-5.0,42,284.118064
-5.0,41,286.283197
-5.0,41,288.48612
9.0,66,292.093462
9.0,68,295.847784
-5.0,41,298.06913
-5.0,41,300.27317
-5.0,42,302.506448
9.0,67,306.155197
-5.0,41,308.329563
-5.0,45,310.690518
-5.0,43,312.957807
-5.0,42,315.209016
-5.0,40,317.326123
-5.0,41,319.513663
-5.0,40,321.651281
9.0,65,325.08383
-5.0,40,327.308809
9.0,66,330.989432
-5.0,40,333.135242
-5.0,41,335.307369
-5.0,43,337.621522
9.0,66,341.254981
9.0,65,345.188962
-5.0,41,347.544807
9.0,71,351.454366
9.0,66,355.245014
9.0,69,358.976047
9.0,65,362.78065
-5.0,40,365.087649
-5.0,40,367.337715
9.0,67,370.974308
-5.0,43,373.283464
-5.0,40,375.436698
-5.0,43,377.782502
-5.0,41,380.010246
-5.0,42,382.253784
9.0,67,385.849146
9.0,67,389.566291
9.0,68,393.329112
9.0,69,397.007066
9.0,69,400.698135
-5.0,40,403.086698
-5.0,42,405.801322
-5.0,42,408.477475
-5.0,41,410.748516
-5.0,40,412.876766
-5.0,41,415.124187
9.0,66,418.913385
-5.0,41,421.184433
-5.0,41,423.399196
-5.0,40,425.747694
-5.0,43,428.236708
-5.0,40,430.667372
-5.0,43,433.01781
-5.0,41,435.255298
9.0,65,438.751014
-5.0,42,441.132656
-5.0,40,443.303511
-5.0,42,445.608183
-5.0,41,448.054433
9.0,65,451.767209
-5.0,40,453.971931
-5.0,40,456.277818
9.0,66,460.258076
9.0,65,464.34924
