# {"t_start": 1561978471.1453362, "env_id": "colorswitch-v0"} 
r,l,t
-6.0,59,5.3401
-5.0,40,7.458061
-5.0,39,9.525483
-5.0,39,11.619965
9.0,64,14.977967
-5.0,39,17.016629
9.0,64,20.419309
-5.0,40,22.537592
-5.0,41,24.754631
-5.0,42,26.945015
-5.0,40,29.067851
-5.0,40,31.180234
-5.0,40,33.32319
-5.0,40,35.403019
-5.0,41,37.573891
-5.0,40,39.745533
-5.0,44,42.038198
-5.0,41,44.197205
-5.0,43,46.46901
-5.0,40,48.592487
-5.0,41,50.785887
-5.0,41,53.042988
-5.0,42,55.267232
-5.0,41,57.485386
9.0,68,61.080243
-5.0,42,63.294986
-5.0,41,65.438449
-5.0,42,67.781586
-5.0,41,69.952672
9.0,75,73.948583
9.0,73,77.786481
-5.0,42,80.013159
-5.0,43,82.307536
-5.0,41,84.474824
-5.0,41,86.610685
-5.0,41,88.740314
-5.0,41,90.905693
-5.0,40,93.014225
-5.0,43,95.287641
-5.0,41,97.477057
-5.0,41,99.65162
-5.0,43,101.896044
9.0,66,105.428505
-5.0,43,107.706148
-5.0,42,109.914156
-5.0,43,112.210022
-5.0,42,114.4105
-5.0,42,116.641677
-5.0,41,118.766592
-5.0,41,120.971851
9.0,66,124.456941
9.0,79,128.579037
-5.0,41,130.689788
-5.0,41,132.866651
-5.0,41,135.030442
-5.0,44,137.402075
-5.0,41,139.56143
-5.0,41,141.704101
-5.0,42,143.915296
-5.0,42,146.120291
9.0,69,149.756876
-5.0,41,151.897119
-5.0,41,154.016381
-5.0,40,156.158355
9.0,69,159.825761
-5.0,40,161.893877
9.0,68,165.509238
-5.0,41,167.651421
-5.0,43,169.922297
-5.0,41,172.095745
-5.0,41,174.263374
-5.0,40,176.353958
9.0,67,179.893323
-5.0,42,182.097432
9.0,66,185.597625
9.0,65,189.085248
9.0,65,192.546386
9.0,65,195.921839
-5.0,40,198.006239
-5.0,40,200.127873
-5.0,42,202.583788
-5.0,41,204.808129
-5.0,40,206.930133
-5.0,42,209.11747
9.0,69,212.813803
-5.0,40,214.960557
-5.0,40,217.076354
-5.0,40,219.147377
9.0,65,222.610949
-5.0,42,224.796712
-5.0,41,226.964245
-5.0,43,229.218247
-5.0,42,231.557828
-5.0,40,233.794219
-5.0,41,236.038446
9.0,65,239.488776
9.0,65,242.963697
-5.0,40,245.045896
-5.0,41,247.27181
-5.0,40,249.392032
9.0,69,253.011483
-5.0,43,255.287546
9.0,67,258.852437
-5.0,43,261.149252
-5.0,44,263.501654
-5.0,42,265.71189
9.0,69,269.356311
-5.0,41,271.65593
-5.0,41,273.950157
9.0,66,277.517287
-5.0,41,279.677912
-5.0,40,281.796251
-5.0,43,284.008321
-5.0,44,286.369792
-5.0,42,288.618397
-5.0,40,290.821489
9.0,68,294.547913
-5.0,42,296.8764
-5.0,43,299.172096
9.0,68,302.814645
9.0,65,306.357074
-5.0,42,308.563245
-5.0,41,310.720712
-5.0,41,312.878151
-5.0,41,315.07474
-5.0,42,317.295274
-5.0,41,319.463241
-5.0,41,321.669491
9.0,65,325.129824
-5.0,41,327.408977
9.0,67,331.125921
-5.0,41,333.332613
-5.0,41,335.510193
-5.0,40,337.683318
9.0,66,341.265653
-5.0,41,343.701471
9.0,67,347.693874
-5.0,41,349.978884
-5.0,42,352.237235
-5.0,42,354.689854
-5.0,41,356.957693
-5.0,41,359.195345
-5.0,41,361.626184
-5.0,41,363.935043
-5.0,41,366.26242
9.0,64,369.80103
-5.0,41,372.019437
-5.0,41,374.234483
-5.0,42,376.525235
-5.0,42,378.784568
-5.0,41,381.021985
-5.0,40,383.155848
-5.0,41,385.355113
9.0,67,388.990944
-5.0,41,391.355201
9.0,67,394.97225
-5.0,43,397.21738
-5.0,48,399.77687
9.0,67,403.779934
-5.0,41,406.435912
-5.0,44,409.125342
-5.0,41,411.366961
-5.0,41,413.580893
9.0,67,417.289165
-5.0,42,419.72208
-5.0,40,421.931182
9.0,66,425.644955
9.0,69,429.692646
9.0,66,433.437715
-5.0,43,435.761299
-5.0,41,437.97589
-5.0,40,440.174693
9.0,65,443.805074
-5.0,41,445.993935
-5.0,41,448.444988
-5.0,41,450.804374
-5.0,40,453.035059
-5.0,40,455.310521
-5.0,40,457.577641
-5.0,40,460.103101
-5.0,41,462.732605
9.0,64,466.546731
-5.0,41,468.957361
-5.0,42,471.297967
-5.0,41,473.552156
-5.0,40,475.691216
-5.0,41,477.865969
-5.0,41,480.051271
-5.0,41,482.439458
-5.0,41,484.750736
-5.0,43,487.133811
9.0,65,490.692158
-5.0,41,493.009967
-5.0,41,495.239385
-5.0,42,497.622225
9.0,66,501.651362
-5.0,43,504.163772
-5.0,41,506.385324
-5.0,41,508.711478
-5.0,41,511.247395
9.0,65,514.938132
-5.0,40,517.147624
-5.0,40,519.306243
9.0,67,522.857306
-5.0,41,524.973727
-5.0,41,527.151043
-5.0,40,529.276569
-5.0,41,531.575744
-5.0,40,533.817859
-5.0,41,536.026459
-5.0,42,538.265761
9.0,66,541.918545
9.0,65,545.62592
9.0,67,549.438028
-5.0,41,551.750359
-5.0,41,554.156754
9.0,66,558.118688
-5.0,41,560.418157
9.0,66,564.097015
9.0,66,567.778672
-5.0,41,570.183997
9.0,65,574.174356
-5.0,42,577.18626
-5.0,40,579.776145
9.0,66,583.579874
-5.0,40,585.881989
-5.0,40,588.485273
-5.0,41,591.142168
9.0,66,595.144419
-5.0,42,597.670721
-5.0,40,600.093291
-5.0,41,602.343724
-5.0,40,604.558743
-5.0,40,607.04943
9.0,66,610.894402
-5.0,40,613.138299
9.0,66,616.834271
-5.0,40,619.37121
-5.0,41,622.286585
-5.0,40,624.823086
-5.0,43,627.493416
-5.0,43,630.135012
9.0,68,634.345003
-5.0,42,637.107797
9.0,66,641.361748
-5.0,41,643.839595
9.0,65,647.543411
-5.0,40,649.900398
-5.0,40,652.04059
-5.0,40,654.194007
-5.0,40,656.446901
-5.0,40,658.711704
-5.0,40,661.031527
-5.0,40,663.348166
9.0,65,667.256211
-5.0,42,669.511946
-5.0,42,671.944539
-5.0,43,674.253554
-5.0,41,676.689133
-5.0,41,679.147641
9.0,64,682.88602
-5.0,41,685.168724
-5.0,41,687.402279
9.0,65,691.000331
-5.0,40,693.366455
9.0,66,697.495608
9.0,66,701.306467
-5.0,41,703.525884
9.0,65,707.086277
-5.0,40,709.264385
-5.0,40,711.38515
9.0,65,714.90177
-5.0,41,717.168707
-5.0,40,719.355215
-5.0,40,721.58958
-5.0,40,723.733872
-5.0,42,725.95746
9.0,67,729.610442
-5.0,41,731.731761
-5.0,43,733.981489
-5.0,41,736.134454
-5.0,41,738.334074
-5.0,43,740.636705
-5.0,47,743.161685
-5.0,41,745.348078
-5.0,42,747.647677
-5.0,40,749.83222
9.0,66,753.402407
-5.0,41,755.578922
-5.0,41,757.723566
-5.0,40,759.876955
-5.0,41,762.050007
-5.0,41,764.213271
9.0,67,767.749941
-5.0,40,769.92267
-5.0,40,772.149544
-5.0,41,774.449177
-5.0,42,776.78104
-5.0,41,778.99067
9.0,67,782.600956
-5.0,41,784.830132
9.0,67,788.411939
-5.0,41,790.607841
9.0,66,794.245818
-5.0,41,796.591398
-5.0,41,798.951707
-5.0,42,801.302277
-5.0,44,803.73944
9.0,66,807.367063
-5.0,43,809.759958
-5.0,41,812.069533
-5.0,41,814.389877
-5.0,41,816.654229
-5.0,41,819.058786
-5.0,41,821.418088
-5.0,40,824.001683
-5.0,40,826.48145
-5.0,40,828.900792
-5.0,41,831.500517
-5.0,40,834.215036
-5.0,41,836.840985
-5.0,39,839.304883
-5.0,40,841.683333
-5.0,40,844.207675
-5.0,40,846.6789
-5.0,40,848.897682
-5.0,40,851.006761
-5.0,40,853.198016
-5.0,40,855.673759
-5.0,40,857.832041
-5.0,40,859.976314
-5.0,40,862.199137
9.0,66,866.139356
9.0,65,870.290897
9.0,66,874.14933
-5.0,41,876.531207
-5.0,40,878.8414
-5.0,40,881.265691
-5.0,41,883.546349
-5.0,40,886.03898
-5.0,40,888.819294
-5.0,42,891.615307
-5.0,41,894.220052
-5.0,42,896.613744
-5.0,41,898.954625
9.0,67,902.885984
-5.0,42,905.308806
-5.0,41,907.769516
9.0,69,912.762942
-5.0,41,915.142728
-5.0,41,917.589385
-5.0,41,920.121886
-5.0,43,922.660757
-5.0,43,925.26306
9.0,72,930.183129
-5.0,41,932.690086
9.0,67,936.717473
-5.0,40,938.958148
-5.0,41,941.209208
9.0,66,944.898253
-5.0,41,947.443708
9.0,65,951.352923
9.0,68,955.375116
9.0,66,959.278342
-5.0,41,961.811232
9.0,66,965.599455
-5.0,41,968.02599
-5.0,43,970.561964
