# {"t_start": 1561894077.2922192, "env_id": "pixelcopter-v0"} 
r,l,t
-5.0,4,2.268604
-4.0,14,2.389659
-5.0,9,2.449478
-5.0,9,2.51015
-3.0,17,2.612275
-1.0,30,2.797328
-4.0,15,2.888512
4.0,63,3.280066
8.0,80,3.758026
12.0,105,4.388013
7.0,74,4.825552
3.0,55,5.153431
2.0,47,5.450051
5.0,68,5.847497
12.0,105,6.480943
1.0,45,6.752718
4.0,61,7.108268
11.0,97,7.699795
28.0,198,8.885875
3.0,58,9.224412
10.0,91,9.765568
81.0,496,12.732565
6.0,72,13.152609
16.0,129,13.890981
6.0,74,14.35643
16.0,132,15.125652
49.0,316,16.998075
30.0,207,18.214916
5.0,71,18.62186
7.0,80,19.111097
31.0,210,20.337398
3.0,58,20.669094
42.0,280,22.33071
2.0,52,22.644472
51.0,321,24.50523
28.0,201,25.688226
16.0,131,26.477129
79.0,492,29.392984
42.0,283,31.031984
-4.0,12,31.113351
16.0,130,31.873713
57.0,365,34.013377
4.0,65,34.394558
5.0,68,34.781073
44.0,296,36.542981
30.0,212,37.766533
2.0,52,38.093238
1.0,46,38.37218
12.0,109,39.000435
0.0,39,39.23229
36.0,249,40.68867
19.0,146,41.546807
14.0,117,42.247979
5.0,66,42.632502
4.0,63,42.989735
67.0,420,45.471604
3.0,58,45.815309
38.0,250,47.329159
53.0,342,49.316067
51.0,326,51.297992
14.0,116,52.000942
46.0,306,53.826588
7.0,80,54.291084
42.0,275,55.926613
21.0,160,56.948575
27.0,191,58.087759
37.0,253,59.607523
30.0,211,60.865046
25.0,182,61.960258
11.0,102,62.572451
7.0,82,63.046886
19.0,148,63.912295
28.0,197,65.056341
3.0,55,65.381967
116.0,694,69.728754
10.0,96,70.31309
12.0,105,70.986964
17.0,139,71.868631
16.0,125,72.647079
7.0,80,73.111754
18.0,146,74.007863
67.0,423,76.726488
190.0,1118,83.543709
4.0,62,83.901065
71.0,438,86.478227
6.0,73,86.919632
16.0,130,87.710758
42.0,281,89.353054
15.0,124,90.069309
3.0,55,90.441192
15.0,127,91.215576
5.0,71,91.661492
7.0,73,92.09906
20.0,159,93.102328
18.0,144,93.995481
52.0,335,96.073208
2.0,49,96.378279
69.0,428,99.032919
38.0,259,100.648923
26.0,186,101.815789
16.0,130,102.620232
1.0,45,102.902851
52.0,337,104.980757
40.0,270,106.630649
63.0,396,109.083908
152.0,904,114.681806
55.0,355,116.859797
50.0,319,118.827851
6.0,73,119.276214
35.0,232,120.708804
2.0,48,121.016425
28.0,197,122.22438
8.0,83,122.774539
53.0,340,124.863435
154.0,917,130.513541
13.0,114,131.215367
62.0,390,133.731556
6.0,74,134.201317
30.0,212,135.593384
15.0,123,136.415441
51.0,326,138.552951
22.0,161,139.585609
6.0,74,140.053175
28.0,197,141.296515
5.0,62,141.685338
43.0,282,143.481175
48.0,308,145.390865
17.0,136,146.238755
16.0,125,147.00887
40.0,268,148.686422
32.0,218,150.044482
5.0,69,150.463704
6.0,74,150.916284
4.0,61,151.282736
53.0,339,153.383647
119.0,718,157.863283
29.0,209,159.129936
-2.0,24,159.281084
67.0,420,161.87398
6.0,68,162.298623
106.0,636,166.195919
2.0,51,166.505492
50.0,321,168.493119
25.0,182,169.608886
93.0,568,173.165154
120.0,719,177.6863
15.0,123,178.444546
72.0,455,181.252925
29.0,200,182.514152
36.0,247,184.033592
26.0,190,185.198054
26.0,186,186.371768
7.0,83,186.893938
5.0,61,187.280821
54.0,345,189.411703
30.0,211,190.709117
56.0,349,192.89487
36.0,245,194.40586
7.0,79,194.898346
83.0,508,198.100878
7.0,74,198.539853
3.0,59,198.899575
36.0,245,200.412453
4.0,62,200.801537
171.0,1009,207.02445
2.0,49,207.35926
139.0,830,212.491561
86.0,532,215.76132
2.0,52,216.073606
2.0,52,216.387011
41.0,272,218.083904
95.0,573,221.653152
39.0,256,223.324134
115.0,692,227.56844
15.0,123,228.323947
209.0,1217,235.906462
3.0,54,236.23667
4.0,62,236.601819
5.0,63,236.990416
43.0,288,238.825188
5.0,70,239.246775
36.0,244,240.749464
26.0,186,241.939018
17.0,132,242.789675
17.0,129,243.578774
18.0,138,244.416778
82.0,504,247.55427
33.0,223,248.946742
2.0,48,249.231714
7.0,80,249.71458
52.0,326,251.73298
70.0,432,254.424243
2.0,50,254.741908
17.0,136,255.57359
137.0,822,260.640285
17.0,136,261.472424
19.0,142,262.339246
65.0,407,264.863526
72.0,449,267.657075
74.0,457,270.525473
71.0,438,273.277036
41.0,273,274.965372
63.0,396,277.457192
48.0,308,279.397316
31.0,212,280.701567
36.0,241,282.201756
28.0,199,283.45685
14.0,121,284.222847
17.0,136,285.075044
51.0,328,287.10535
69.0,427,290.104959
39.0,264,291.784812
21.0,155,292.74533
21.0,164,293.754879
3.0,58,294.105557
64.0,396,296.557626
66.0,408,299.154559
