# {"t_start": 1561894077.3022096, "env_id": "pixelcopter-v0"} 
r,l,t
-5.0,5,2.263188
-4.0,10,2.35663
-5.0,4,2.384654
-5.0,6,2.420495
-5.0,5,2.454509
-5.0,9,2.513947
-5.0,6,2.550658
-3.0,18,2.668811
-2.0,23,2.810337
-5.0,9,2.857657
-2.0,22,2.999087
2.0,52,3.315224
4.0,59,3.669739
4.0,63,4.048503
7.0,79,4.518842
2.0,49,4.810071
5.0,69,5.222425
13.0,112,5.893672
2.0,53,6.22324
5.0,68,6.638973
9.0,86,7.131977
6.0,67,7.547571
13.0,110,8.194708
7.0,80,8.683582
20.0,148,9.569274
6.0,74,10.001313
9.0,89,10.518927
6.0,74,10.944132
6.0,68,11.38159
7.0,82,11.856944
4.0,63,12.242305
15.0,124,12.987783
11.0,99,13.553861
25.0,179,14.620463
29.0,204,15.821434
2.0,49,16.109741
6.0,66,16.505161
11.0,97,17.075433
8.0,81,17.569527
3.0,51,17.866852
41.0,268,19.431085
13.0,115,20.091324
42.0,272,21.71801
19.0,145,22.576542
20.0,157,23.484985
7.0,79,23.931365
5.0,68,24.342369
5.0,68,24.733962
64.0,398,27.103503
4.0,60,27.456087
41.0,272,29.067959
10.0,91,29.5928
18.0,138,30.402137
7.0,82,30.874439
11.0,103,31.490684
14.0,120,32.20053
11.0,98,32.77611
5.0,61,33.131982
25.0,181,34.182086
9.0,89,34.702558
29.0,204,35.912241
16.0,129,36.668605
61.0,387,38.94894
21.0,161,39.888685
7.0,76,40.334994
18.0,144,41.181255
5.0,71,41.602628
2.0,52,41.91996
9.0,86,42.41941
5.0,68,42.803108
17.0,137,43.615755
7.0,81,44.127949
71.0,447,46.75519
13.0,111,47.427492
36.0,245,48.853759
80.0,490,51.792186
18.0,143,52.679432
60.0,369,54.833604
9.0,86,55.345628
31.0,210,56.618025
23.0,168,57.685793
6.0,73,58.119375
4.0,57,58.46831
18.0,135,59.266122
11.0,97,59.842361
6.0,77,60.321158
37.0,250,61.805385
28.0,199,62.983177
102.0,615,66.567992
26.0,189,67.790296
1.0,46,68.108503
75.0,459,71.006236
106.0,637,75.03477
8.0,81,75.500808
31.0,221,76.909849
13.0,114,77.626701
51.0,327,79.63705
8.0,84,80.168136
27.0,195,81.327064
-2.0,22,81.454031
4.0,61,81.818899
5.0,68,82.21537
87.0,534,85.365517
2.0,49,85.666807
9.0,87,86.205291
18.0,135,86.999974
11.0,102,87.623517
32.0,225,88.941489
15.0,123,89.652787
5.0,68,90.055087
29.0,197,91.296906
30.0,212,92.623421
7.0,80,93.116919
54.0,343,95.229756
111.0,663,99.34825
27.0,186,100.512204
14.0,118,101.252278
27.0,195,102.472688
41.0,271,104.147519
52.0,332,106.176289
43.0,290,107.97075
12.0,109,108.650775
18.0,142,109.508313
8.0,80,109.996202
43.0,288,111.770304
30.0,205,113.039587
67.0,415,115.631375
26.0,190,116.79858
14.0,115,117.528192
11.0,98,118.12607
110.0,654,122.147688
13.0,110,122.867563
5.0,68,123.304008
40.0,264,124.910846
19.0,144,125.801784
20.0,157,126.755209
64.0,403,129.241248
4.0,64,129.639028
57.0,357,131.894501
37.0,253,133.505892
19.0,141,134.410484
28.0,191,135.698482
13.0,112,136.41225
37.0,249,138.083202
26.0,190,139.291697
68.0,415,141.888887
211.0,1235,149.61452
87.0,532,152.892977
26.0,190,154.064626
7.0,73,154.514667
35.0,238,155.979337
46.0,303,157.894697
28.0,199,159.111265
21.0,154,160.058921
26.0,188,161.216781
71.0,441,163.949467
51.0,330,165.961856
8.0,83,166.463895
12.0,107,167.167192
21.0,159,168.116025
-4.0,11,168.199972
323.0,1872,179.876076
33.0,230,181.277816
42.0,284,183.06823
97.0,593,186.735032
37.0,253,188.302459
26.0,187,189.467991
45.0,298,191.309315
6.0,72,191.734343
64.0,404,194.273017
21.0,159,195.268542
93.0,570,198.824308
23.0,168,199.864691
23.0,171,200.916377
2.0,48,201.225182
59.0,374,203.538066
138.0,816,208.591878
6.0,69,209.017308
104.0,626,212.874377
210.0,1224,220.43957
