# {"t_start": 1561916900.343417, "env_id": "colorswitch-v0"} 
r,l,t
-6.0,65,5.714432
-5.0,56,8.69201
-5.0,44,11.066843
9.0,83,15.783395
9.0,74,20.166935
-5.0,43,22.856709
9.0,68,28.009539
-5.0,45,31.821824
-5.0,55,35.778476
-5.0,47,38.674382
-5.0,42,41.278436
-5.0,41,43.69401
9.0,66,47.697998
9.0,67,51.730978
9.0,66,55.541514
-5.0,40,57.823186
-5.0,41,60.124176
-5.0,44,62.72454
9.0,67,66.47868
-5.0,42,69.002696
-5.0,42,71.353498
-5.0,42,73.668073
-5.0,51,76.508011
-5.0,42,78.842586
-5.0,44,81.421697
9.0,71,85.765492
9.0,67,89.627652
-5.0,46,92.202827
