# {"t_start": 1561916900.3375049, "env_id": "colorswitch-v0"} 
r,l,t
8.0,108,8.011984
-5.0,44,10.365009
-5.0,49,13.013722
-5.0,44,15.591917
-5.0,47,18.450407
-5.0,43,20.912327
-5.0,42,23.658594
9.0,67,28.92089
-5.0,42,32.522863
9.0,75,37.578371
-5.0,42,40.127956
-5.0,41,42.480975
-5.0,50,45.63283
-5.0,41,48.077309
-5.0,41,50.56409
9.0,66,54.37383
9.0,66,58.177428
9.0,67,61.98595
-5.0,42,64.42578
9.0,67,68.250179
-5.0,42,70.67996
-5.0,42,73.00484
-5.0,42,75.315749
-5.0,43,77.744583
-5.0,43,80.212489
-5.0,41,82.66484
-5.0,42,85.226849
-5.0,40,87.567367
-5.0,41,89.926039
-5.0,43,92.319501
